School 1 Name,School 2 Name
duke,north-dakota-state
virginia-commonwealth,central-florida
mississippi-state,liberty
virginia-tech,saint-louis
maryland,belmont
louisiana-state,yale
louisville,minnesota
michigan-state,bradley
