School 1 Name,School 2 Name
virginia,gardner-webb
mississippi,oklahoma
wisconsin,oregon
kansas-state,california-irvine
villanova,saint-marys-ca
purdue,old-dominion
cincinnati,iowa
tennessee,colgate
