School 1 Name,School 2 Name
xavier,texas-southern
missouri,florida-state
ohio-state,south-dakota-state
gonzaga,north-carolina-greensboro
houston,san-diego-state
michigan,montana
texas-am,providence
north-carolina,lipscomb
