,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",7:00 pm/est,,REG,,Houston Baptist,Southland,W,84,55,,1,0,W 1,
1,2,"Mon, Nov 13, 2017",6:30 pm/est,,REG,,Minnesota (14),Big Ten,L,74,86,,1,1,L 1,Dunkin' Donuts Center
2,3,"Thu, Nov 16, 2017",9:00 pm/est,,REG,N,Washington,Pac-12,W,77,70,,2,1,W 1,Madison Square Garden (IV)
3,4,"Fri, Nov 17, 2017",7:30 pm/est,,REG,N,Saint Louis,A-10,W,90,63,,3,1,W 2,Madison Square Garden (IV)
4,5,"Wed, Nov 22, 2017",7:00 pm/est,,REG,,Belmont,OVC,W,66,65,,4,1,W 3,Dunkin' Donuts Center
5,6,"Sat, Nov 25, 2017",8:00 pm/est,,REG,,Boston College,ACC,W,86,66,,5,1,W 4,Dunkin' Donuts Center
6,7,"Wed, Nov 29, 2017",7:00 pm/est,,REG,,Rider,MAAC,W,88,84,,6,1,W 5,Dunkin' Donuts Center
7,8,"Sat, Dec 2, 2017",5:00 pm/est,,REG,@,Rhode Island,A-10,L,68,75,,6,2,L 1,
8,9,"Wed, Dec 6, 2017",7:00 pm/est,,REG,,Brown,Ivy,W,77,72,OT,7,2,W 1,Dunkin' Donuts Center
9,10,"Sat, Dec 9, 2017",3:00 pm/est,,REG,@,Massachusetts,A-10,L,63,72,,7,3,L 1,Mullins Center
10,11,"Sun, Dec 17, 2017",2:30 pm/est,,REG,,Stony Brook,AEC,W,62,60,,8,3,W 1,Dunkin' Donuts Center
11,12,"Wed, Dec 20, 2017",6:30 pm/est,,REG,N,Houston,AAC,L,59,70,,8,4,L 1,Mohegan Sun Arena
12,13,"Fri, Dec 22, 2017",6:30 pm/est,,REG,,Sacred Heart,NEC,W,89,75,,9,4,W 1,Dunkin' Donuts Center
13,14,"Thu, Dec 28, 2017",7:00 pm/est,,REG,@,St. John's (NY),Big East,W,94,72,,10,4,W 2,Carnesecca Arena
14,15,"Sun, Dec 31, 2017",2:30 pm/est,,REG,@,Creighton (25),Big East,L,64,83,,10,5,L 1,CenturyLink Center
15,16,"Wed, Jan 3, 2018",6:30 pm/est,,REG,,Marquette,Big East,L,90,95,OT,10,6,L 2,Dunkin' Donuts Center
16,17,"Sat, Jan 6, 2018",12:00 pm/est,,REG,,Xavier (5),Big East,W,81,72,,11,6,W 1,Dunkin' Donuts Center
17,18,"Fri, Jan 12, 2018",8:30 pm/est,,REG,@,DePaul,Big East,W,71,64,,12,6,W 2,
18,19,"Mon, Jan 15, 2018",4:30 pm/est,,REG,,Butler,Big East,W,70,60,,13,6,W 3,Dunkin' Donuts Center
19,20,"Sat, Jan 20, 2018",3:00 pm/est,,REG,,Creighton,Big East,W,85,71,,14,6,W 4,Dunkin' Donuts Center
20,21,"Tue, Jan 23, 2018",6:30 pm/est,,REG,@,Villanova (1),Big East,L,69,89,,14,7,L 1,Wells Fargo Center
21,22,"Wed, Jan 31, 2018",7:00 pm/est,,REG,@,Seton Hall,Big East,L,57,73,,14,8,L 2,Prudential Center
22,23,"Sat, Feb 3, 2018",2:30 pm/est,,REG,@,Marquette,Big East,W,77,75,,15,8,W 1,BMO Harris Bradley Center
23,24,"Tue, Feb 6, 2018",8:30 pm/est,,REG,,Georgetown,Big East,W,73,69,,16,8,W 2,Dunkin' Donuts Center
24,25,"Sat, Feb 10, 2018",4:00 pm/est,,REG,,DePaul,Big East,L,63,80,,16,9,L 1,Dunkin' Donuts Center
25,26,"Wed, Feb 14, 2018",7:00 pm/est,,REG,,Villanova (3),Big East,W,76,71,,17,9,W 1,Dunkin' Donuts Center
26,27,"Sat, Feb 17, 2018",12:00 pm/est,,REG,@,Butler,Big East,L,54,69,,17,10,L 1,Hinkle Fieldhouse
27,28,"Wed, Feb 21, 2018",6:30 pm/est,,REG,,Seton Hall,Big East,L,77,89,,17,11,L 2,Dunkin' Donuts Center
28,29,"Sat, Feb 24, 2018",12:00 pm/est,,REG,@,Georgetown,Big East,W,74,69,,18,11,W 1,Verizon Center
29,30,"Wed, Feb 28, 2018",6:30 pm/est,,REG,@,Xavier (3),Big East,L,74,84,,18,12,L 1,Cintas Center
30,31,"Sat, Mar 3, 2018",12:00 pm/est,,REG,,St. John's (NY),Big East,W,61,57,,19,12,W 1,Dunkin' Donuts Center
31,32,"Thu, Mar 8, 2018",2:30 pm/est,,CTOURN,N,Creighton,Big East,W,72,68,OT,20,12,W 2,Madison Square Garden (IV)
32,33,"Fri, Mar 9, 2018",6:30 pm/est,,CTOURN,N,Xavier (3),Big East,W,75,72,OT,21,12,W 3,Madison Square Garden (IV)
33,34,"Sat, Mar 10, 2018",6:30 pm/est,,CTOURN,N,Villanova (2),Big East,L,66,76,OT,21,13,L 1,Madison Square Garden (IV)
34,35,"Fri, Mar 16, 2018",12:15 pm/est,,NCAA,N,Texas A&M,SEC,,,,,,,,
