,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",9:00 pm/est,,REG,,East Central,,W,81,55,,1,0,W 1,Pan American Center
1,2,"Mon, Nov 13, 2017",10:00 pm/est,,REG,@,Saint Mary's (CA) (21),WCC,L,74,92,,1,1,L 1,McKeon Pavilion
2,3,"Fri, Nov 17, 2017",9:00 pm/est,,REG,,New Mexico,MWC,W,75,56,,2,1,W 1,Pan American Center
3,4,"Wed, Nov 22, 2017",9:00 pm/est,,REG,,Colorado State,MWC,W,89,76,,3,1,W 2,Pan American Center
4,5,"Sat, Nov 25, 2017",9:00 pm/est,,REG,,Texas-El Paso,CUSA,W,72,63,,4,1,W 3,Pan American Center
5,6,"Thu, Nov 30, 2017",10:00 pm/est,,REG,@,Texas-El Paso,CUSA,W,80,60,,5,1,W 4,Don Haskins Center
6,7,"Sun, Dec 3, 2017",6:00 pm/est,,REG,,Prairie View,SWAC,W,69,57,,6,1,W 5,Pan American Center
7,8,"Wed, Dec 6, 2017",9:00 pm/est,,REG,,San Diego,WCC,L,60,65,,6,2,L 1,Pan American Center
8,9,"Sat, Dec 9, 2017",9:00 pm/est,,REG,@,New Mexico,MWC,W,65,62,,7,2,W 1,The Pit
9,10,"Tue, Dec 12, 2017",9:00 pm/est,,REG,,Eastern New Mexico,,W,84,62,,8,2,W 2,Pan American Center
10,11,"Sat, Dec 16, 2017",8:00 pm/est,,REG,N,Illinois,Big Ten,W,74,69,,9,2,W 3,United Center
11,12,"Fri, Dec 22, 2017",11:00 pm/est,,REG,N,Davidson,A-10,W,69,68,,10,2,W 4,Stan Sheriff Center
12,13,"Sat, Dec 23, 2017",10:00 pm/est,,REG,N,Miami (FL) (6),ACC,W,63,54,,11,2,W 5,Stan Sheriff Center
13,14,"Mon, Dec 25, 2017",6:00 pm/est,,REG,N,Southern California,Pac-12,L,72,77,,11,3,L 1,Stan Sheriff Center
14,15,"Thu, Dec 28, 2017",10:00 pm/est,,REG,@,UC-Irvine,Big West,W,65,60,,12,3,W 1,Bren Events Center
15,16,"Sat, Jan 6, 2018",3:05 pm/est,,REG,@,Chicago State,WAC,W,97,60,,13,3,W 2,Emil and Patricia Jones Convocation Center
16,17,"Thu, Jan 11, 2018",9:00 pm/est,,REG,@,Grand Canyon,WAC,W,70,59,,14,3,W 3,Grand Canyon University Arena
17,18,"Sat, Jan 13, 2018",10:00 pm/est,,REG,@,Cal State Bakersfield,WAC,W,66,53,,15,3,W 4,Icardo Center
18,19,"Thu, Jan 18, 2018",9:00 pm/est,,REG,,Seattle,WAC,W,75,62,,16,3,W 5,Pan American Center
19,20,"Sat, Jan 20, 2018",6:00 pm/est,,REG,,Utah Valley,WAC,W,86,59,,17,3,W 6,Pan American Center
20,21,"Sat, Jan 27, 2018",8:00 pm/est,,REG,@,Missouri-Kansas City,WAC,W,73,48,,18,3,W 7,Municipal Auditorium
21,22,"Tue, Jan 30, 2018",9:00 pm/est,,REG,,Northern New Mexico,,W,71,45,,19,3,W 8,Pan American Center
22,23,"Sat, Feb 3, 2018",6:00 pm/est,,REG,,Texas-Rio Grande Valley,WAC,W,90,67,,20,3,W 9,Pan American Center
23,24,"Thu, Feb 8, 2018",9:00 pm/est,,REG,,Cal State Bakersfield,WAC,W,69,43,,21,3,W 10,Pan American Center
24,25,"Sat, Feb 10, 2018",9:00 pm/est,,REG,,Grand Canyon,WAC,W,74,70,,22,3,W 11,Pan American Center
25,26,"Thu, Feb 15, 2018",9:00 pm/est,,REG,@,Utah Valley,WAC,L,79,86,,22,4,L 1,UCCU Center
26,27,"Sat, Feb 17, 2018",4:00 pm/est,,REG,@,Seattle,WAC,L,63,73,OT,22,5,L 2,KeyArena at Seattle Center 
27,28,"Thu, Feb 22, 2018",9:00 pm/est,,REG,,Chicago State,WAC,W,78,67,,23,5,W 1,Pan American Center
28,29,"Sat, Feb 24, 2018",9:00 pm/est,,REG,,Missouri-Kansas City,WAC,W,82,58,,24,5,W 2,Pan American Center
29,30,"Sat, Mar 3, 2018",8:00 pm/est,,REG,@,Texas-Rio Grande Valley,WAC,W,86,71,,25,5,W 3,UTRGV Fieldhouse
30,31,"Thu, Mar 8, 2018",9:00 pm/est,,CTOURN,N,Chicago State,WAC,W,97,70,,26,5,W 4,Orleans Arena
31,32,"Fri, Mar 9, 2018",11:30 pm/est,,CTOURN,N,Seattle,WAC,W,84,79,,27,5,W 5,Orleans Arena
32,33,"Sat, Mar 10, 2018",10:00 pm/est,,CTOURN,N,Grand Canyon,WAC,W,72,58,,28,5,W 6,Orleans Arena
33,34,"Fri, Mar 16, 2018",9:57 pm/est,,NCAA,N,Clemson (20),ACC,,,,,,,,
