,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",7:30 pm/est,,REG,,Emory,,W,98,83,,1,0,W 1,Allen Arena
1,2,"Sun, Nov 12, 2017",5:00 pm/est,,REG,,Morehead State,OVC,W,77,70,,2,0,W 2,Allen Arena
2,3,"Tue, Nov 14, 2017",8:00 pm/est,,REG,@,Alabama,SEC,L,64,86,,2,1,L 1,Coleman Coliseum 
3,4,"Sat, Nov 18, 2017",5:00 pm/est,,REG,@,Texas,Big 12,L,57,80,,2,2,L 2,Frank Erwin Center
4,5,"Mon, Nov 20, 2017",8:00 pm/est,,REG,@,Abilene Christian,Southland,W,75,67,,3,2,W 1,Moody Coliseum 
5,6,"Mon, Nov 27, 2017",7:30 pm/est,,REG,@,Belmont,OVC,W,74,66,,4,2,W 2,Curb Event Center
6,7,"Wed, Nov 29, 2017",7:00 pm/est,,REG,@,Tennessee Tech,OVC,L,80,86,,4,3,L 1,Eblen Center
7,8,"Sat, Dec 2, 2017",8:00 pm/est,,REG,@,Tennessee State,OVC,W,95,86,OT,5,3,W 1,Gentry Center Complex
8,9,"Mon, Dec 4, 2017",8:15 pm/est,,REG,,Belmont,OVC,W,69,54,,6,3,W 2,Allen Arena
9,10,"Sat, Dec 9, 2017",2:15 pm/est,,REG,@,Tennessee (24),SEC,L,71,81,,6,4,L 1,Thompson-Boling Arena
10,11,"Thu, Dec 14, 2017",7:30 pm/est,,REG,,Florida College,,W,100,68,,7,4,W 1,Allen Arena
11,12,"Sun, Dec 17, 2017",2:00 pm/est,,REG,,Abilene Christian,Southland,W,67,65,,8,4,W 2,Allen Arena
12,13,"Thu, Dec 21, 2017",7:00 pm/est,,REG,@,Navy,Patriot,W,73,64,,9,4,W 3,Alumni Hall
13,14,"Sat, Dec 30, 2017",8:00 pm/est,,REG,@,Purdue (14),Big Ten,L,66,98,,9,5,L 1,Mackey Arena
14,15,"Wed, Jan 3, 2018",7:30 pm/est,,REG,,Fisk,,W,99,53,,10,5,W 1,Allen Arena
15,16,"Sat, Jan 6, 2018",4:30 pm/est,,REG,@,Kennesaw State,A-Sun,W,86,71,,11,5,W 2,KSU Convocation Center 
16,17,"Thu, Jan 11, 2018",7:00 pm/est,,REG,@,North Florida,A-Sun,L,96,102,,11,6,L 1,UNF Arena 
17,18,"Sat, Jan 13, 2018",6:00 pm/est,,REG,@,Jacksonville,A-Sun,L,69,87,,11,7,L 2,Swisher Gymnasium
18,19,"Thu, Jan 18, 2018",7:30 pm/est,,REG,,Florida Gulf Coast,A-Sun,L,83,88,,11,8,L 3,Allen Arena
19,20,"Sat, Jan 20, 2018",5:00 pm/est,,REG,,Stetson,A-Sun,W,85,82,,12,8,W 1,Allen Arena
20,21,"Wed, Jan 24, 2018",7:30 pm/est,,REG,,South Carolina Upstate,A-Sun,W,92,78,,13,8,W 2,Allen Arena
21,22,"Sat, Jan 27, 2018",4:00 pm/est,,REG,@,NJIT,A-Sun,W,86,79,OT,14,8,W 3,
22,23,"Mon, Jan 29, 2018",7:00 pm/est,,REG,@,South Carolina Upstate,A-Sun,W,110,106,2OT,15,8,W 4,G.B. Hodge Center
23,24,"Sat, Feb 3, 2018",5:00 pm/est,,REG,,NJIT,A-Sun,L,77,81,,15,9,L 1,Allen Arena
24,25,"Thu, Feb 8, 2018",7:30 pm/est,,REG,,Jacksonville,A-Sun,W,82,59,,16,9,W 1,Allen Arena
25,26,"Sat, Feb 10, 2018",5:00 pm/est,,REG,,North Florida,A-Sun,W,82,75,,17,9,W 2,Allen Arena
26,27,"Thu, Feb 15, 2018",7:00 pm/est,,REG,@,Stetson,A-Sun,W,82,73,,18,9,W 3,Edmunds Center
27,28,"Sat, Feb 17, 2018",7:00 pm/est,,REG,@,Florida Gulf Coast,A-Sun,W,90,87,,19,9,W 4,Alico Arena
28,29,"Thu, Feb 22, 2018",7:30 pm/est,,REG,,Kennesaw State,A-Sun,W,83,74,,20,9,W 5,Allen Arena
29,30,"Mon, Feb 26, 2018",8:00 pm/est,,CTOURN,,Stetson,A-Sun,W,89,73,,21,9,W 6,Allen Arena
30,31,"Thu, Mar 1, 2018",8:00 pm/est,,CTOURN,,Jacksonville,A-Sun,W,77,62,,22,9,W 7,Allen Arena
31,32,"Sun, Mar 4, 2018",3:00 pm/est,,CTOURN,@,Florida Gulf Coast,A-Sun,W,108,96,,23,9,W 8,Alico Arena
32,33,"Fri, Mar 16, 2018",2:45 pm/est,,NCAA,N,North Carolina (10),ACC,,,,,,,,
