,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",9:00 pm/est,,REG,,Louisiana-Monroe,Sun Belt,W,83,73,,1,0,W 1,Ed & Rae Schollmaier Arena
1,2,"Mon, Nov 13, 2017",9:00 pm/est,,REG,,Tennessee Tech,OVC,W,100,63,,2,0,W 2,Ed & Rae Schollmaier Arena
2,3,"Wed, Nov 15, 2017",9:00 pm/est,,REG,,South Dakota,Summit,W,76,71,,3,0,W 3,Ed & Rae Schollmaier Arena
3,4,"Mon, Nov 20, 2017",9:00 pm/est,,REG,,Nebraska-Omaha,Summit,W,99,66,,4,0,W 4,Ed & Rae Schollmaier Arena
4,5,"Fri, Nov 24, 2017",7:00 pm/est,,REG,N,New Mexico,MWC,W,69,67,,5,0,W 5,The Arena
5,6,"Sat, Nov 25, 2017",7:00 pm/est,,REG,N,St. Bonaventure,A-10,W,89,79,,6,0,W 6,The Arena
6,7,"Wed, Nov 29, 2017",9:00 pm/est,,REG,,Belmont,OVC,W,87,76,,7,0,W 7,Ed & Rae Schollmaier Arena
7,8,"Sat, Dec 2, 2017",8:00 pm/est,,REG,,Yale,Ivy,W,92,66,,8,0,W 8,Ed & Rae Schollmaier Arena
8,9,"Tue, Dec 5, 2017",9:00 pm/est,,REG,,Southern Methodist,AAC,W,94,83,,9,0,W 9,Ed & Rae Schollmaier Arena
9,10,"Sat, Dec 9, 2017",1:00 am/est,,REG,N,Nevada (22),MWC,W,84,80,,10,0,W 10,Staples Center
10,11,"Mon, Dec 18, 2017",9:00 pm/est,,REG,,Texas Southern,SWAC,W,91,72,,11,0,W 11,Ed & Rae Schollmaier Arena
11,12,"Fri, Dec 22, 2017",9:00 pm/est,,REG,,William & Mary,CAA,W,86,75,,12,0,W 12,Ed & Rae Schollmaier Arena
12,13,"Sat, Dec 30, 2017",2:00 pm/est,,REG,,Oklahoma (12),Big 12,L,89,90,,12,1,L 1,Ed & Rae Schollmaier Arena
13,14,"Tue, Jan 2, 2018",7:00 pm/est,,REG,@,Baylor,Big 12,W,81,78,OT,13,1,W 1,Ferrell Center
14,15,"Sat, Jan 6, 2018",9:15 pm/est,,REG,,Kansas (10),Big 12,L,84,88,,13,2,L 1,Ed & Rae Schollmaier Arena
15,16,"Wed, Jan 10, 2018",9:00 pm/est,,REG,@,Texas,Big 12,L,98,99,2OT,13,3,L 2,Frank Erwin Center
16,17,"Sat, Jan 13, 2018",1:00 pm/est,,REG,@,Oklahoma (9),Big 12,L,97,102,OT,13,4,L 3,Lloyd Noble Center
17,18,"Wed, Jan 17, 2018",9:00 pm/est,,REG,,Iowa State,Big 12,W,96,73,,14,4,W 1,Ed & Rae Schollmaier Arena
18,19,"Sat, Jan 20, 2018",4:00 pm/est,,REG,@,Kansas State,Big 12,L,68,73,,14,5,L 1,Bramlage Coliseum
19,20,"Mon, Jan 22, 2018",9:00 pm/est,,REG,,West Virginia (7),Big 12,W,82,73,,15,5,W 1,Ed & Rae Schollmaier Arena
20,21,"Sat, Jan 27, 2018",4:00 pm/est,,REG,@,Vanderbilt,SEC,L,78,81,,15,6,L 1,Memorial Gymnasium
21,22,"Tue, Jan 30, 2018",7:00 pm/est,,REG,@,Oklahoma State,Big 12,W,79,66,,16,6,W 1,Gallagher-Iba Arena
22,23,"Sat, Feb 3, 2018",2:00 pm/est,,REG,,Texas Tech (10),Big 12,L,71,83,,16,7,L 1,Ed & Rae Schollmaier Arena
23,24,"Tue, Feb 6, 2018",9:00 pm/est,,REG,@,Kansas (10),Big 12,L,64,71,,16,8,L 2,Allen Fieldhouse
24,25,"Sat, Feb 10, 2018",2:00 pm/est,,REG,,Texas,Big 12,W,87,71,,17,8,W 1,Ed & Rae Schollmaier Arena
25,26,"Mon, Feb 12, 2018",9:00 pm/est,,REG,@,West Virginia (20),Big 12,L,66,82,,17,9,L 1,WVU Coliseum
26,27,"Sat, Feb 17, 2018",8:00 pm/est,,REG,,Oklahoma State,Big 12,W,90,70,,18,9,W 1,Ed & Rae Schollmaier Arena
27,28,"Wed, Feb 21, 2018",8:00 pm/est,,REG,@,Iowa State,Big 12,W,89,83,,19,9,W 2,James H. Hilton Coliseum 
28,29,"Sat, Feb 24, 2018",12:00 pm/est,,REG,,Baylor,Big 12,W,82,72,,20,9,W 3,Ed & Rae Schollmaier Arena
29,30,"Tue, Feb 27, 2018",9:00 pm/est,,REG,,Kansas State,Big 12,W,66,59,,21,9,W 4,Ed & Rae Schollmaier Arena
30,31,"Sat, Mar 3, 2018",4:00 pm/est,,REG,@,Texas Tech (12),Big 12,L,75,79,,21,10,L 1,United Supermarkets Arena
31,32,"Thu, Mar 8, 2018",12:30 pm/est,,CTOURN,N,Kansas State,Big 12,L,64,66,OT,21,11,L 2,Sprint Center
