,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",9:00 pm/est,,REG,,South Alabama,Sun Belt,W,75,50,,1,0,W 1,United Supermarkets Arena
1,2,"Tue, Nov 14, 2017",8:00 pm/est,,REG,,Maine,AEC,W,83,44,,2,0,W 2,United Supermarkets Arena
2,3,"Sat, Nov 18, 2017",12:00 pm/est,,REG,N,Boston College,ACC,W,75,64,,3,0,W 3,Mohegan Sun Arena
3,4,"Sun, Nov 19, 2017",5:00 pm/est,,REG,N,Northwestern (20),Big Ten,W,85,49,,4,0,W 4,Mohegan Sun Arena
4,5,"Wed, Nov 22, 2017",6:30 pm/est,,REG,,Wofford,Southern,W,79,56,,5,0,W 5,United Supermarkets Arena
5,6,"Sat, Nov 25, 2017",3:00 pm/est,,REG,,Savannah State,MEAC,W,103,69,,6,0,W 6,United Supermarkets Arena
6,7,"Thu, Nov 30, 2017",6:30 pm/est,,REG,N,Seton Hall,Big East,L,79,89,,6,1,L 1,Madison Square Garden (IV)
7,8,"Tue, Dec 5, 2017",8:00 pm/est,,REG,,Nevada (22),MWC,W,82,76,OT,7,1,W 1,United Supermarkets Arena
8,9,"Wed, Dec 13, 2017",9:00 pm/est,,REG,,Kennesaw State,A-Sun,W,82,53,,8,1,W 2,United Supermarkets Arena
9,10,"Sat, Dec 16, 2017",8:00 pm/est,,REG,,Rice,CUSA,W,73,53,,9,1,W 3,United Supermarkets Arena
10,11,"Tue, Dec 19, 2017",8:00 pm/est,,REG,,Florida Atlantic,CUSA,W,90,54,,10,1,W 4,United Supermarkets Arena
11,12,"Fri, Dec 22, 2017",3:00 pm/est,,REG,,Abilene Christian,Southland,W,74,47,,11,1,W 5,United Supermarkets Arena
12,13,"Fri, Dec 29, 2017",8:00 pm/est,,REG,,Baylor (18),Big 12,W,77,53,,12,1,W 6,United Supermarkets Arena
13,14,"Tue, Jan 2, 2018",9:00 pm/est,,REG,@,Kansas (10),Big 12,W,85,73,,13,1,W 7,Allen Fieldhouse
14,15,"Sat, Jan 6, 2018",4:00 pm/est,,REG,,Kansas State,Big 12,W,74,58,,14,1,W 8,United Supermarkets Arena
15,16,"Tue, Jan 9, 2018",7:00 pm/est,,REG,@,Oklahoma (9),Big 12,L,65,75,,14,2,L 1,Lloyd Noble Center
16,17,"Sat, Jan 13, 2018",2:00 pm/est,,REG,,West Virginia (2),Big 12,W,72,71,,15,2,W 1,United Supermarkets Arena
17,18,"Wed, Jan 17, 2018",8:00 pm/est,,REG,@,Texas,Big 12,L,58,67,,15,3,L 1,Frank Erwin Center
18,19,"Sat, Jan 20, 2018",2:00 pm/est,,REG,@,Iowa State,Big 12,L,52,70,,15,4,L 2,James H. Hilton Coliseum 
19,20,"Tue, Jan 23, 2018",7:00 pm/est,,REG,,Oklahoma State,Big 12,W,75,70,,16,4,W 1,United Supermarkets Arena
20,21,"Sat, Jan 27, 2018",12:00 pm/est,,REG,@,South Carolina,SEC,W,70,63,,17,4,W 2,The Colonial Life Arena
21,22,"Wed, Jan 31, 2018",9:00 pm/est,,REG,,Texas,Big 12,W,73,71,OT,18,4,W 3,United Supermarkets Arena
22,23,"Sat, Feb 3, 2018",2:00 pm/est,,REG,@,Texas Christian,Big 12,W,83,71,,19,4,W 4,Ed & Rae Schollmaier Arena
23,24,"Wed, Feb 7, 2018",9:00 pm/est,,REG,,Iowa State,Big 12,W,76,58,,20,4,W 5,United Supermarkets Arena
24,25,"Sat, Feb 10, 2018",8:00 pm/est,,REG,@,Kansas State,Big 12,W,66,47,,21,4,W 6,Bramlage Coliseum
25,26,"Tue, Feb 13, 2018",7:00 pm/est,,REG,,Oklahoma (23),Big 12,W,88,78,,22,4,W 7,United Supermarkets Arena
26,27,"Sat, Feb 17, 2018",7:30 pm/est,,REG,@,Baylor,Big 12,L,57,59,,22,5,L 1,Ferrell Center
27,28,"Wed, Feb 21, 2018",7:00 pm/est,,REG,@,Oklahoma State,Big 12,L,71,79,,22,6,L 2,Gallagher-Iba Arena
28,29,"Sat, Feb 24, 2018",4:15 pm/est,,REG,,Kansas (8),Big 12,L,72,74,,22,7,L 3,United Supermarkets Arena
29,30,"Mon, Feb 26, 2018",9:00 pm/est,,REG,@,West Virginia (20),Big 12,L,74,84,,22,8,L 4,WVU Coliseum
30,31,"Sat, Mar 3, 2018",4:00 pm/est,,REG,,Texas Christian,Big 12,W,79,75,,23,8,W 1,United Supermarkets Arena
31,32,"Thu, Mar 8, 2018",7:00 pm/est,,CTOURN,N,Texas,Big 12,W,73,69,,24,8,W 2,Sprint Center
32,33,"Fri, Mar 9, 2018",9:00 pm/est,,CTOURN,N,West Virginia (18),Big 12,L,63,66,,24,9,L 1,Sprint Center
33,34,"Thu, Mar 15, 2018",7:27 pm/est,,NCAA,N,Stephen F. Austin,Southland,,,,,,,,
