,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",8:30 pm/est,,REG,@,Monmouth,MAAC,L,78,79,,0,1,L 1,Multipurpose Activity Center
1,2,"Sun, Nov 12, 2017",6:00 pm/est,,REG,@,Arkansas,SEC,L,73,101,,0,2,L 2,Bud Walton Arena
2,3,"Wed, Nov 15, 2017",8:00 pm/est,,REG,@,North Carolina (9),ACC,L,81,93,,0,3,L 3,Dean Smith Center
3,4,"Sat, Nov 18, 2017",8:30 pm/est,,REG,@,Maryland,Big Ten,L,78,80,,0,4,L 4,Xfinity Center
4,5,"Mon, Nov 20, 2017",7:00 pm/est,,REG,,Siena,MAAC,W,115,92,,1,4,W 1,Sojka Pavilion
5,6,"Wed, Nov 22, 2017",7:00 pm/est,,REG,,Ball State,MAC,W,87,83,,2,4,W 2,Sojka Pavilion
6,7,"Sun, Nov 26, 2017",2:00 pm/est,,REG,@,Stony Brook,AEC,W,85,76,,3,4,W 3,Island Federal Credit Union
7,8,"Wed, Nov 29, 2017",7:00 pm/est,,REG,@,Saint Joseph's,A-10,L,70,83,,3,5,L 1,Hagan Arena
8,9,"Sat, Dec 2, 2017",7:00 pm/est,,REG,,Vermont,AEC,W,81,77,,4,5,W 1,Sojka Pavilion
9,10,"Tue, Dec 5, 2017",7:00 pm/est,,REG,@,Northeastern,CAA,L,64,82,,4,6,L 1,Matthews Arena
10,11,"Sat, Dec 16, 2017",6:00 pm/est,,REG,@,Virginia Commonwealth,A-10,L,79,85,,4,7,L 2,Stuart Siegel Center
11,12,"Tue, Dec 19, 2017",7:00 pm/est,,REG,@,Richmond,A-10,W,86,78,,5,7,W 1,Robins Center
12,13,"Fri, Dec 22, 2017",7:00 pm/est,,REG,,La Salle,A-10,W,88,81,,6,7,W 2,Sojka Pavilion
13,14,"Fri, Dec 29, 2017",7:00 pm/est,,REG,,American,Patriot,W,84,55,,7,7,W 3,Sojka Pavilion
14,15,"Tue, Jan 2, 2018",7:00 pm/est,,REG,,Boston University,Patriot,L,79,84,,7,8,L 1,Sojka Pavilion
15,16,"Fri, Jan 5, 2018",7:00 pm/est,,REG,@,Army,Patriot,W,83,66,,8,8,W 1,Christl Arena
16,17,"Mon, Jan 8, 2018",7:00 pm/est,,REG,@,Lafayette,Patriot,W,80,75,OT,9,8,W 2,Kirby Sports Center
17,18,"Thu, Jan 11, 2018",7:00 pm/est,,REG,,Lehigh,Patriot,W,78,65,,10,8,W 3,Sojka Pavilion
18,19,"Mon, Jan 15, 2018",7:00 pm/est,,REG,@,Colgate,Patriot,W,63,51,,11,8,W 4,Cotterell Court
19,20,"Wed, Jan 17, 2018",7:00 pm/est,,REG,@,Loyola (MD),Patriot,W,78,70,,12,8,W 5,Reitz Arena
20,21,"Sat, Jan 20, 2018",12:00 pm/est,,REG,,Holy Cross,Patriot,W,77,56,,13,8,W 6,Sojka Pavilion
21,22,"Wed, Jan 24, 2018",7:00 pm/est,,REG,@,Navy,Patriot,W,87,67,,14,8,W 7,Alumni Hall
22,23,"Sun, Jan 28, 2018",12:00 pm/est,,REG,@,Boston University,Patriot,W,91,79,,15,8,W 8,Case Gym
23,24,"Wed, Jan 31, 2018",7:00 pm/est,,REG,,Army,Patriot,W,83,71,OT,16,8,W 9,Sojka Pavilion
24,25,"Sat, Feb 3, 2018",7:00 pm/est,,REG,,Lafayette,Patriot,W,74,59,,17,8,W 10,Sojka Pavilion
25,26,"Mon, Feb 5, 2018",7:00 pm/est,,REG,@,Lehigh,Patriot,L,89,92,OT,17,9,L 1,Stabler Arena
26,27,"Mon, Feb 12, 2018",7:00 pm/est,,REG,,Colgate,Patriot,W,65,64,,18,9,W 1,Sojka Pavilion
27,28,"Wed, Feb 14, 2018",7:00 pm/est,,REG,,Loyola (MD),Patriot,W,94,53,,19,9,W 2,Sojka Pavilion
28,29,"Sat, Feb 17, 2018",12:05 pm/est,,REG,@,Holy Cross,Patriot,W,68,67,OT,20,9,W 3,Hart Recreation Center
29,30,"Wed, Feb 21, 2018",7:00 pm/est,,REG,,Navy,Patriot,W,85,61,,21,9,W 4,Sojka Pavilion
30,31,"Sat, Feb 24, 2018",2:00 pm/est,,REG,@,American,Patriot,W,80,61,,22,9,W 5,Bender Arena
31,32,"Thu, Mar 1, 2018",7:00 pm/est,,CTOURN,,Loyola (MD),Patriot,W,83,78,,23,9,W 6,Sojka Pavilion
32,33,"Sun, Mar 4, 2018",2:00 pm/est,,CTOURN,,Boston University,Patriot,W,90,59,,24,9,W 7,Sojka Pavilion
33,34,"Wed, Mar 7, 2018",7:30 pm/est,,CTOURN,,Colgate,Patriot,W,83,54,,25,9,W 8,Sojka Pavilion
34,35,"Fri, Mar 16, 2018",7:10 pm/est,,NCAA,N,Michigan State (5),Big Ten,,,,,,,,
