,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",10:00 pm/est,,REG,@,Southern California (10),Pac-12,L,42,84,,0,1,L 1,Galen Center
1,2,"Wed, Nov 15, 2017",10:00 pm/est,,REG,@,Saint Mary's (CA) (21),WCC,L,57,76,,0,2,L 2,McKeon Pavilion
2,3,"Sat, Nov 18, 2017",5:00 pm/est,,REG,,Bethesda University (CA),,W,77,35,,1,2,W 1,Titan Gym
3,4,"Thu, Nov 23, 2017",10:30 pm/est,,REG,,Georgia,SEC,L,57,64,,1,3,L 1,Titan Gym
4,5,"Fri, Nov 24, 2017",9:30 pm/est,,REG,N,Sacramento State,Big Sky,W,68,63,,2,3,W 1,Titan Gym
5,6,"Sun, Nov 26, 2017",9:30 pm/est,,REG,,Harvard,Ivy,W,70,61,,3,3,W 2,Titan Gym
6,7,"Sat, Dec 2, 2017",9:00 pm/est,,REG,,Cal Lutheran,,W,86,58,,4,3,W 3,Titan Gym
7,8,"Wed, Dec 6, 2017",10:00 pm/est,,REG,@,Portland,WCC,W,76,66,,5,3,W 4,Chiles Center
8,9,"Sat, Dec 9, 2017",9:00 pm/est,,REG,,Utah Valley,WAC,W,91,83,,6,3,W 5,Titan Gym
9,10,"Sat, Dec 16, 2017",4:00 pm/est,,REG,@,University of California,Pac-12,L,89,95,OT,6,4,L 1,Haas Pavilion
10,11,"Fri, Dec 22, 2017",10:00 pm/est,,REG,@,Loyola Marymount,WCC,W,88,80,,7,4,W 1,Albert Gersten Pavilion
11,12,"Sat, Dec 30, 2017",8:00 pm/est,,REG,@,Utah Valley,WAC,L,78,87,,7,5,L 1,UCCU Center
12,13,"Wed, Jan 3, 2018",10:00 pm/est,,REG,,UC-Riverside,Big West,W,68,65,,8,5,W 1,Titan Gym
13,14,"Sat, Jan 6, 2018",10:00 pm/est,,REG,@,Cal Poly,Big West,W,101,97,OT,9,5,W 2,Robert A. Mott Gymnasium
14,15,"Thu, Jan 11, 2018",10:30 pm/est,,REG,@,UC-Irvine,Big West,W,67,64,,10,5,W 3,Bren Events Center
15,16,"Sat, Jan 13, 2018",9:00 pm/est,,REG,,UC-Davis,Big West,W,85,70,,11,5,W 4,Titan Gym
16,17,"Wed, Jan 17, 2018",10:00 pm/est,,REG,@,UC-Santa Barbara,Big West,L,64,83,,11,6,L 1,The Thunderdome
17,18,"Sat, Jan 20, 2018",10:30 pm/est,,REG,@,Long Beach State,Big West,L,73,81,,11,7,L 2,The Walter Pyramid
18,19,"Thu, Jan 25, 2018",10:30 pm/est,,REG,,UC-Santa Barbara,Big West,L,65,70,,11,8,L 3,Titan Gym
19,20,"Sun, Jan 28, 2018",1:00 am/est,,REG,@,Hawaii,Big West,W,69,66,,12,8,W 1,Stan Sheriff Center
20,21,"Sat, Feb 3, 2018",10:00 pm/est,,REG,,UC-Irvine,Big West,L,58,63,,12,9,L 1,Titan Gym
21,22,"Thu, Feb 8, 2018",10:00 pm/est,,REG,,Cal Poly,Big West,W,75,59,,13,9,W 1,Titan Gym
22,23,"Sat, Feb 10, 2018",8:00 pm/est,,REG,@,UC-Davis,Big West,W,68,66,,14,9,W 2,The Pavilion
23,24,"Sat, Feb 17, 2018",9:00 pm/est,,REG,,Cal State Northridge,Big West,W,88,70,,15,9,W 3,Titan Gym
24,25,"Wed, Feb 21, 2018",10:00 pm/est,,REG,@,UC-Riverside,Big West,L,65,69,,15,10,L 1,UC Riverside Student Recreation Center
25,26,"Sat, Feb 24, 2018",10:00 pm/est,,REG,,Long Beach State,Big West,W,81,71,,16,10,W 1,Titan Gym
26,27,"Wed, Feb 28, 2018",10:00 pm/est,,REG,@,Cal State Northridge,Big West,W,102,76,,17,10,W 2,The Matadome
27,28,"Sat, Mar 3, 2018",6:00 pm/est,,REG,,Hawaii,Big West,L,60,68,,17,11,L 1,Titan Gym
28,29,"Thu, Mar 8, 2018",5:30 pm/est,,CTOURN,N,Long Beach State,Big West,W,76,74,,18,11,W 1,Honda Center
29,30,"Fri, Mar 9, 2018",9:30 pm/est,,CTOURN,N,UC-Davis,Big West,W,55,52,,19,11,W 2,Honda Center
30,31,"Sat, Mar 10, 2018",11:59 pm/est,,CTOURN,N,UC-Irvine,Big West,W,71,55,,20,11,W 3,Honda Center
31,32,"Fri, Mar 16, 2018",12:40 pm/est,,NCAA,N,Purdue (11),Big Ten,,,,,,,,
