,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",7:00 pm/est,,REG,,Morehead State,OVC,W,101,49,,1,0,W 1,Cintas Center
1,2,"Mon, Nov 13, 2017",8:30 pm/est,,REG,,Rider,MAAC,W,101,75,,2,0,W 2,Cintas Center
2,3,"Thu, Nov 16, 2017",8:30 pm/est,,REG,@,Wisconsin,Big Ten,W,80,70,,3,0,W 3,Kohl Center
3,4,"Mon, Nov 20, 2017",8:30 pm/est,,REG,,Hampton,MEAC,W,96,60,,4,0,W 4,Cintas Center
4,5,"Thu, Nov 23, 2017",5:00 pm/est,,REG,N,George Washington,A-10,W,83,64,,5,0,W 5,Orleans Arena
5,6,"Fri, Nov 24, 2017",5:30 pm/est,,REG,N,Arizona State,Pac-12,L,86,102,,5,1,L 1,Orleans Arena
6,7,"Tue, Nov 28, 2017",6:30 pm/est,,REG,,Baylor (16),Big 12,W,76,63,,6,1,W 1,Cintas Center
7,8,"Sat, Dec 2, 2017",12:00 pm/est,,REG,,Cincinnati (11),AAC,W,89,76,,7,1,W 2,Cintas Center
8,9,"Wed, Dec 6, 2017",7:00 pm/est,,REG,,Kent State,MAC,W,96,70,,8,1,W 3,Cintas Center
9,10,"Sat, Dec 9, 2017",5:00 pm/est,,REG,,Colorado,Pac-12,W,96,69,,9,1,W 4,Cintas Center
10,11,"Sat, Dec 16, 2017",2:00 pm/est,,REG,,East Tennessee State,Southern,W,68,66,,10,1,W 5,Cintas Center
11,12,"Tue, Dec 19, 2017",6:30 pm/est,,REG,,Marshall,CUSA,W,81,77,,11,1,W 6,Cintas Center
12,13,"Fri, Dec 22, 2017",9:00 pm/est,,REG,@,Northern Iowa,MVC,W,77,67,,12,1,W 7,McLeod Center
13,14,"Wed, Dec 27, 2017",8:30 pm/est,,REG,@,Marquette,Big East,W,91,87,,13,1,W 8,BMO Harris Bradley Center
14,15,"Sat, Dec 30, 2017",2:00 pm/est,,REG,,DePaul,Big East,W,77,72,,14,1,W 9,Cintas Center
15,16,"Tue, Jan 2, 2018",7:00 pm/est,,REG,,Butler,Big East,W,86,79,,15,1,W 10,Cintas Center
16,17,"Sat, Jan 6, 2018",12:00 pm/est,,REG,@,Providence,Big East,L,72,81,,15,2,L 1,Dunkin' Donuts Center
17,18,"Wed, Jan 10, 2018",8:00 pm/est,,REG,@,Villanova (1),Big East,L,65,89,,15,3,L 2,Wells Fargo Center
18,19,"Sat, Jan 13, 2018",2:00 pm/est,,REG,,Creighton (25),Big East,W,92,70,,16,3,W 1,Cintas Center
19,20,"Wed, Jan 17, 2018",8:30 pm/est,,REG,,St. John's (NY),Big East,W,88,82,,17,3,W 2,Cintas Center
20,21,"Sat, Jan 20, 2018",2:30 pm/est,,REG,@,Seton Hall (19),Big East,W,73,64,,18,3,W 3,Prudential Center
21,22,"Wed, Jan 24, 2018",6:30 pm/est,,REG,,Marquette,Big East,W,89,70,,19,3,W 4,Cintas Center
22,23,"Tue, Jan 30, 2018",8:30 pm/est,,REG,@,St. John's (NY),Big East,W,73,68,,20,3,W 5,Carnesecca Arena
23,24,"Sat, Feb 3, 2018",6:00 pm/est,,REG,,Georgetown,Big East,W,96,91,OT,21,3,W 6,Cintas Center
24,25,"Tue, Feb 6, 2018",6:30 pm/est,,REG,@,Butler,Big East,W,98,93,OT,22,3,W 7,Hinkle Fieldhouse
25,26,"Sat, Feb 10, 2018",2:30 pm/est,,REG,@,Creighton,Big East,W,72,71,,23,3,W 8,CenturyLink Center
26,27,"Wed, Feb 14, 2018",9:00 pm/est,,REG,,Seton Hall,Big East,W,102,90,,24,3,W 9,Cintas Center
27,28,"Sat, Feb 17, 2018",4:30 pm/est,,REG,,Villanova (3),Big East,L,79,95,,24,4,L 1,Cintas Center
28,29,"Wed, Feb 21, 2018",6:30 pm/est,,REG,@,Georgetown,Big East,W,89,77,,25,4,W 1,Verizon Center
29,30,"Wed, Feb 28, 2018",6:30 pm/est,,REG,,Providence,Big East,W,84,74,,26,4,W 2,Cintas Center
30,31,"Sat, Mar 3, 2018",12:00 pm/est,,REG,@,DePaul,Big East,W,65,62,,27,4,W 3,
31,32,"Thu, Mar 8, 2018",12:00 pm/est,,CTOURN,N,St. John's (NY),Big East,W,88,60,,28,4,W 4,Madison Square Garden (IV)
32,33,"Fri, Mar 9, 2018",6:30 pm/est,,CTOURN,N,Providence,Big East,L,72,75,OT,28,5,L 1,Madison Square Garden (IV)
