,Game,Date,Time,Network,Type,Home/Away,Opponent,Conference,Outcome,Team Points,Opponent Points,OT,Opponent Wins,Opponent Losses,Streak,Arena
0,1,"Fri, Nov 10, 2017",11:30 pm/est,,REG,N,Georgia Tech,ACC,W,63,60,,1,0,W 1,Mercedes-Benz Arena
1,2,"Wed, Nov 15, 2017",11:00 pm/est,,REG,,Central Arkansas,Southland,W,106,101,OT,2,0,W 2,Pauley Pavilion
2,3,"Fri, Nov 17, 2017",9:00 pm/est,,REG,,South Carolina State,MEAC,W,96,68,,3,0,W 3,Pauley Pavilion
3,4,"Mon, Nov 20, 2017",7:00 pm/est,,REG,N,Creighton,Big East,L,89,100,,3,1,L 1,Sprint Center
4,5,"Tue, Nov 21, 2017",7:30 pm/est,,REG,N,Wisconsin,Big Ten,W,72,70,,4,1,W 1,Sprint Center
5,6,"Sun, Nov 26, 2017",6:00 pm/est,,REG,,UC-Irvine,Big West,W,87,63,,5,1,W 2,Pauley Pavilion
6,7,"Wed, Nov 29, 2017",10:00 pm/est,,REG,,Cal State Bakersfield,WAC,W,75,66,,6,1,W 3,Pauley Pavilion
7,8,"Sun, Dec 3, 2017",9:00 pm/est,,REG,,Detroit Mercy,Horizon,W,106,73,,7,1,W 4,Pauley Pavilion
8,9,"Sat, Dec 9, 2017",12:00 pm/est,,REG,@,Michigan,Big Ten,L,69,78,OT,7,2,L 1,Crisler Arena
9,10,"Sat, Dec 16, 2017",3:30 pm/est,,REG,,Cincinnati (25),AAC,L,63,77,,7,3,L 2,Pauley Pavilion
10,11,"Tue, Dec 19, 2017",9:00 pm/est,,REG,,South Dakota,Summit,W,85,82,,8,3,W 1,Pauley Pavilion
11,12,"Sat, Dec 23, 2017",4:00 pm/est,,REG,N,Kentucky (7),SEC,W,83,75,,9,3,W 2,Smoothie King Center
12,13,"Fri, Dec 29, 2017",11:00 pm/est,,REG,,Washington State,Pac-12,W,96,82,,10,3,W 3,Pauley Pavilion
13,14,"Sun, Dec 31, 2017",8:00 pm/est,,REG,,Washington,Pac-12,W,74,53,,11,3,W 4,Pauley Pavilion
14,15,"Thu, Jan 4, 2018",10:00 pm/est,,REG,@,Stanford,Pac-12,L,99,107,2OT,11,4,L 1,Maples Pavilion
15,16,"Sat, Jan 6, 2018",6:30 pm/est,,REG,@,University of California,Pac-12,W,107,84,,12,4,W 1,Haas Pavilion
16,17,"Thu, Jan 11, 2018",11:00 pm/est,,REG,,Utah,Pac-12,W,83,64,,13,4,W 2,Pauley Pavilion
17,18,"Sat, Jan 13, 2018",10:30 pm/est,,REG,,Colorado,Pac-12,L,59,68,,13,5,L 1,Pauley Pavilion
18,19,"Thu, Jan 18, 2018",11:00 pm/est,,REG,@,Oregon State,Pac-12,L,63,69,,13,6,L 2,Gill Coliseum
19,20,"Sat, Jan 20, 2018",10:15 pm/est,,REG,@,Oregon,Pac-12,L,91,94,,13,7,L 3,Matthew Knight Arena
20,21,"Thu, Jan 25, 2018",10:30 pm/est,,REG,,University of California,Pac-12,W,70,57,,14,7,W 1,Pauley Pavilion
21,22,"Sat, Jan 27, 2018",10:30 pm/est,,REG,,Stanford,Pac-12,W,89,73,,15,7,W 2,Pauley Pavilion
22,23,"Sat, Feb 3, 2018",6:00 pm/est,,REG,,Southern California,Pac-12,W,82,79,,16,7,W 3,Pauley Pavilion
23,24,"Thu, Feb 8, 2018",10:00 pm/est,,REG,@,Arizona (13),Pac-12,W,82,74,,17,7,W 4,McKale Center
24,25,"Sat, Feb 10, 2018",7:00 pm/est,,REG,@,Arizona State,Pac-12,L,79,88,,17,8,L 1,Wells Fargo Arena
25,26,"Thu, Feb 15, 2018",11:00 pm/est,,REG,,Oregon State,Pac-12,W,75,68,,18,8,W 1,Pauley Pavilion
26,27,"Sat, Feb 17, 2018",10:15 pm/est,,REG,,Oregon,Pac-12,W,86,78,OT,19,8,W 2,Pauley Pavilion
27,28,"Thu, Feb 22, 2018",9:00 pm/est,,REG,@,Utah,Pac-12,L,78,84,,19,9,L 1,Jon M. Huntsman Center
28,29,"Sun, Feb 25, 2018",4:00 pm/est,,REG,@,Colorado,Pac-12,L,76,80,,19,10,L 2,Coors Events/Conference Center
29,30,"Sat, Mar 3, 2018",10:15 pm/est,,REG,@,Southern California,Pac-12,W,83,72,,20,10,W 1,Galen Center
30,31,"Thu, Mar 8, 2018",5:30 pm/est,,CTOURN,N,Stanford,Pac-12,W,88,77,,21,10,W 2,T-Mobile Arena
31,32,"Fri, Mar 9, 2018",9:00 pm/est,,CTOURN,N,Arizona (15),Pac-12,L,67,78,OT,21,11,L 1,T-Mobile Arena
32,33,"Tue, Mar 13, 2018",9:10 pm/est,,NCAA,N,St. Bonaventure,A-10,,,,,,,,
