,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Devonte Green,37,6,12,.500,2,3,.667,4,9,.444,2,2,1.000,0,11,11,3,3,1,4,2,18
1,Rob Phinisee,37,2,5,.400,2,4,.500,0,1,.000,3,4,.750,2,5,7,5,2,0,2,2,7
2,Aljami Durham,36,2,12,.167,1,4,.250,1,8,.125,1,2,.500,1,1,2,2,0,0,0,3,6
3,Juwan Morgan,35,5,9,.556,5,9,.556,0,0,,5,6,.833,3,4,7,1,1,1,3,3,15
4,Justin Smith,12,0,3,.000,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,2,0
5,De'Ron Davis,21,3,5,.600,3,5,.600,0,0,,4,10,.400,0,3,3,1,0,1,1,2,10
6,Evan Fitzner,12,2,4,.500,1,1,1.000,1,3,.333,0,0,,1,0,1,1,0,0,0,1,5
7,Zach McRoberts,10,1,1,1.000,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,0,2,2
