,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Cameron Morse,24,SR,G,6-2,180,"Flint, MI",Carman-Ainsworth, 15.4 Pts,2.3 Reb,3.9 Ast
1,Braun Hartfield,1,SO,G,6-4,185,"Cleveland, OH",Garfield Heights High School, 13.6 Pts,4.3 Reb,2.6 Ast
2,Garrett Covington,32,,G,6-5,195,,, 8.3 Pts,3.6 Reb,0.8 Ast
3,Naz Bohannon,33,,F,6-6,230,,, 7.2 Pts,8.1 Reb,1.4 Ast
4,Tyree Robinson,0,JR,F,6-5,220,"Fall River, MA",, 7.5 Pts,3.6 Reb,0.4 Ast
5,Jaylen Benton,4,SR,G,6-3,180,"Columbus, OH",Westerville North High School, 6.6 Pts,1.7 Reb,2.0 Ast
6,Devin Haygood,2,JR,F,6-7,175,"Ypsilanti, MI",Lincoln Consolidated High School, 6.6 Pts,4.5 Reb,0.6 Ast
7,Jeremiah Ferguson,5,SO,G,6-2,180,"Naperville, IL",The Peddie School, 4.2 Pts,0.9 Reb,1.3 Ast
8,Michael Akuchie,31,FR,F,6-8,215,"Plantation, FL",, 3.5 Pts,2.0 Reb,0.1 Ast
9,Noe Anabir,21,JR,F,6-8,226,Switzerland,, 2.4 Pts,1.9 Reb,0.5 Ast
10,Francisco Santiago,23,SR,G,6-1,160,"Cleveland, OH",SAint Ignatius High School, 2.6 Pts,1.3 Reb,1.1 Ast
11,Ryan Strollo,10,SR,G,6-2,190,"Youngstown, OH",Ursuline, 1.4 Pts,0.6 Reb,0.2 Ast
12,Jacob Brown,14,FR,F,6-9,195,"Clemmons, NC",, 1.4 Pts,1.0 Reb,0.2 Ast
13,Dan Ritter,11,FR,G,6-3,176,"North Lima, OH",, 0.6 Pts,0.8 Reb,0.3 Ast
14,John Kirincic,30,SO,G,6-1,175,"University Heights, OH",, 1.0 Pts,0.5 Reb,0.0 Ast
15,Alex Wilbourn,13,JR,C,7-0,204,"San Diego, CA",, 0.0 Pts,1.0 Reb,0.3 Ast
16,Justin Bofenkamp,34,,G,6-0,180,,,,,
17,Geoff Hamperian,20,,G,6-4,200,,,,,
18,Devin Morgan,22,,G,5-10,180,"Chester, VA",Matoaca HS,,,
19,John Sally Jr.,50,,F,6-11,250,,,,,
