,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jehyve Floyd,20,JR,F,6-8,185,"Sayreville, NJ",Sayreville War Memorial High School, 12.2 Pts,5.6 Reb,1.6 Ast
1,Austin Butler,4,FR,G,6-5,209,"Latrobe, PA",, 9.8 Pts,3.7 Reb,1.1 Ast
2,Jacob Grandison,21,FR,F,6-6,190,"Oakland, CA",, 9.0 Pts,4.5 Reb,2.0 Ast
3,Caleb Green,0,FR,G,5-10,173,"Londonderry, NH",, 8.9 Pts,2.4 Reb,2.8 Ast
4,Karl Charles,1,JR,F,6-5,200,"Roselle, NJ",Rutgers Preparatory School, 10.2 Pts,2.9 Reb,3.1 Ast
5,Pat Benzan,10,JR,G,5-11,170,"Wellesley, MA",Roxbury Latin (MA), 6.3 Pts,3.3 Reb,2.1 Ast
6,Matt Faw,15,FR,F,6-9,206,"King Of Prussia, PA",, 4.3 Pts,1.7 Reb,0.4 Ast
7,Matt Zignorski,31,JR,G,6-2,170,"Sparta, NJ",Pope John XXIII (NJ), 3.4 Pts,1.0 Reb,1.1 Ast
8,Connor Niego,5,FR,F,6-8,198,"Western Springs, IL",, 3.1 Pts,1.9 Reb,0.2 Ast
9,Kyle Copeland,2,FR,G,6-4,171,"Leesburg, VA",, 1.6 Pts,0.6 Reb,0.4 Ast
10,Clayton Le Sann,12,SO,G,6-4,188,Switzerland,Cheshire Academy, 1.6 Pts,0.8 Reb,0.5 Ast
11,Will Powers,11,SO,G,6-0,175,"Swarthmore, PA",Malvern Preparatory School, 0.0 Pts,0.0 Reb,0.0 Ast
12,Jack Stevens,33,,C,6-10,240,"Ithaca, NY",Kent School, 0.0 Pts,1.0 Reb,0.0 Ast
13,Marcellis Perkins,14,,G,6-4,185,"Chesapeake, VA",Deep Creek HS (VA) / Fishburne Military Academy,,,
