,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Divine Myles,4,SR,G,5-11,180,"Mobile, AL",Blount HS, 16.8 Pts,4.5 Reb,4.2 Ast
1,B.J. Glasford,3,SR,G,6-4,180,"Miami, FL",Coral Reef HS, 11.1 Pts,3.9 Reb,1.8 Ast
2,Abayomi Iyiola,23,FR,F,6-9,210,"Atlanta, GA",, 10.1 Pts,6.2 Reb,0.2 Ast
3,Luke Doyle,33,SR,G,6-5,190,"Oviedo, FL",Hagerty, 10.0 Pts,2.9 Reb,1.5 Ast
4,Angel Rivera,5,SR,G,5-8,160,Puerto Rico,IMG Academy, 7.7 Pts,3.5 Reb,4.7 Ast
5,Christiaan Jones,0,FR,G,6-4,175,"Columbia, SC",, 5.0 Pts,2.1 Reb,0.8 Ast
6,Leo Goodman,35,,G,6-5,210,"Saginaw, MI",Eleanor Roosevelt High School, 5.3 Pts,2.3 Reb,0.4 Ast
7,Keith Matthews,1,FR,G,6-7,185,"Blythewood, SC",, 3.7 Pts,2.2 Reb,0.3 Ast
8,Larry Dennis,14,SR,F,6-9,205,"Wichita, KS",Sunrise Christian Academy, 3.5 Pts,3.2 Reb,0.2 Ast
9,Kenny Aninye,10,FR,G,6-1,185,"Marietta, GA",, 2.6 Pts,0.9 Reb,0.9 Ast
10,Raine McKeython,2,FR,G,6-1,185,"Upper Marlboro, MD",, 2.1 Pts,0.7 Reb,0.2 Ast
11,Adam Webb,32,FR,C,7-2,220,"Lakeland, FL",, 1.2 Pts,1.3 Reb,0.0 Ast
12,Brady Moses,20,SR,G,6-3,175,"Lodi, WI",Lodi HIgh School, 1.8 Pts,0.5 Reb,0.0 Ast
13,Matthew Cioce,13,SR,G,6-2,190,"Asheville, NC",Christ School, 1.2 Pts,0.4 Reb,0.0 Ast
14,Ricky Gouety,21,,F,6-10,210,,,,,
15,Clay Verk,15,,F,6-8,260,"Highlands Ranch, CO",ThunderRidge High School,,,
