,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tiwian Kendley,5,,G,6-5,190,"Harlem, NY",Eleanor Roosevelt High School, 25.7 Pts,4.0 Reb,2.2 Ast
1,Phillip Carr,22,SR,F,6-8,190,"Brooklyn, NY",Transit Tech HS, 13.7 Pts,9.3 Reb,1.3 Ast
2,Martez Cameron,,,G,5-11,165,"Chicago, IL",Montverde Academy (IL), 8.5 Pts,2.8 Reb,4.3 Ast
3,Stanley Davis,0,SO,G,6-4,174,"Chester, PA",STEM Academy, 7.3 Pts,2.9 Reb,1.7 Ast
4,David Syfax,32,SO,F,6-7,205,"Detroit, MI",Pershing High School, 6.5 Pts,4.3 Reb,0.7 Ast
5,Lapri McCray-Pace,1,FR,G,6-4,210,"Philadelphia, PA",, 5.7 Pts,2.6 Reb,0.8 Ast
6,Antonio Gillespie,10,JR,G,6-1,165,"Memphis, TN",Central HS, 3.7 Pts,1.2 Reb,0.4 Ast
7,Kyson Rawls,4,FR,G,6-1,190,"New Castle, DE",, 5.2 Pts,0.8 Reb,1.1 Ast
8,Khalil Gracey,23,JR,G,6-5,180,"Bloomfield Hills, MI",, 2.8 Pts,1.0 Reb,0.6 Ast
9,Tyler Streeter,13,JR,G,6-4,185,"Chicago, IL",St. Francis de Sales HS, 3.4 Pts,0.8 Reb,0.2 Ast
10,Elijah Staley,,JR,F,6-6,220,"Atlanta, GA",, 1.8 Pts,2.1 Reb,0.5 Ast
11,Alex Ennis,12,JR,F,6-10,225,"Ocean, NJ",Neptune High School, 1.3 Pts,2.2 Reb,0.1 Ast
12,Azariah Sykes,3,SO,C,6-8,210,"Midlothian, VA",Milwood School, 1.2 Pts,3.9 Reb,0.3 Ast
13,Tyjhai Byers,44,SO,C,6-10,210,"Bethesda, MD",Bethesda-Chevy Chase High School, 0.9 Pts,2.8 Reb,0.0 Ast
14,Jalen Robinson,11,,G,6-4,170,,,,,
