,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Deion Holmes,11,JR,G,6-3,180,"Chesnee, SC",Chesnee HS, 15.5 Pts,3.7 Reb,1.3 Ast
1,Malik Moore,0,JR,F,6-6,188,"Asheville, NC",Clyde A. Erwin HS, 13.5 Pts,6.1 Reb,2.4 Ast
2,Mike Cunningham,1,JR,G,6-1,190,"Washington, DC",DuVal HS, 13.7 Pts,2.8 Reb,3.0 Ast
3,Ramel Thompkins,4,SR,F,6-6,195,"Vidalia, GA",Vidalia HS, 10.8 Pts,5.8 Reb,0.9 Ast
4,Jure Span,3,JR,G,6-4,165,Slovenia,COMBINE Academy, 7.9 Pts,2.7 Reb,4.1 Ast
5,Avery Diggs,5,FR,C,6-10,260,"Brandon, FL",, 3.9 Pts,3.6 Reb,0.3 Ast
6,Carson Smith,13,SR,F,6-6,200,"Fort Mill, SC",Fort Mill High School, 3.8 Pts,2.4 Reb,1.1 Ast
7,Thomas Booker,23,FR,G,6-3,175,"Bowling Green, KY",Bowling Green High School, 4.1 Pts,1.4 Reb,0.4 Ast
8,Isaiah Anderson,12,FR,C,6-8,260,"Chester, VA",, 3.0 Pts,2.5 Reb,0.4 Ast
9,Pat Welch,15,JR,G,5-11,181,"Pembroke, NH",, 1.5 Pts,0.7 Reb,0.5 Ast
10,Austin Nelson,2,FR,G,6-6,194,"Hendersonville, NC",, 0.0 Pts,0.3 Reb,0.3 Ast
11,Yeskin Walker-Williams,35,FR,F,6-4,190,"Houston, TX",, 0.0 Pts,0.0 Reb,0.0 Ast
12,Lloyd Hemming,21,,F,6-4,186,,,,,
13,Cory Kaplan,10,,F,6-4,200,,,,,
14,Jacob Schulte,33,,F,6-7,237,"Newport, KY",Newport Central Catholic HS,,,
15,Andrew Tate,22,,F,6-6,188,,,,,
