,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Rickey McGill,0,JR,G,6-1,165,"Spring Valley, NY",Spring Valley (NY), 13.5 Pts,4.1 Reb,5.6 Ast
1,E.J. Crawford,2,SO,F,6-6,210,"Hartford, CT",St. Thomas More Prep, 12.9 Pts,3.5 Reb,1.1 Ast
2,Roland Griffin,11,JR,F,6-7,210,"Aurora, IL",West Aurora HS, 10.9 Pts,5.2 Reb,1.4 Ast
3,Deyshonee Much,15,SR,G,6-5,170,"Rochester, NY",Gates Chili, 10.8 Pts,3.9 Reb,2.4 Ast
4,Schadrac Casimir,4,JR,G,5-10,155,"Stamford, CT",South Kent, 10.4 Pts,1.9 Reb,1.8 Ast
5,Tarekeyi Edogi,13,SR,F,6-8,222,"Phoenix, AZ",Westwind Prep HS, 8.6 Pts,7.1 Reb,0.4 Ast
6,Zach Lewis,1,SR,G,6-3,175,"Windsor, CT",Northwest Catholic/Fishburne Military School, 9.2 Pts,2.9 Reb,3.0 Ast
7,Jan Svandrlik,20,SR,F,6-7,210,Czech Republic,Canarias Basketball Academy, 3.7 Pts,1.7 Reb,0.3 Ast
8,C.J. Seaforth,3,,G,6-1,155,,, 2.3 Pts,0.7 Reb,0.6 Ast
9,Gavin Kensmil,21,FR,F,6-7,230,Suriname,, 1.0 Pts,1.0 Reb,0.1 Ast
10,Tyrell Williams,44,JR,F,6-9,250,"Miami, FL",Miami Norland High School, 0.8 Pts,1.0 Reb,0.0 Ast
11,Nils Taylor,,,G,6-2,195,,, 0.0 Pts,0.0 Reb,0.5 Ast
12,Branden Aughburns,30,,F,6-9,230,"Queens, NY",Canterbury School,,,
13,Andrija Ristanovic,10,,F,6-10,200,,,,,
14,Isaiah Still,22,,G,6-6,190,"Rahway, NJ",Union Catholic HS,,,
