,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jermaine Marrow,2,SO,G,6-1,182,"Newport News, VA",Heritage High School, 18.7 Pts,4.9 Reb,5.4 Ast
1,Kalin Fisher,23,JR,G,6-2,180,"Chicago, IL",Proviso East High School, 12.6 Pts,4.5 Reb,2.1 Ast
2,Malique Trent,,,G,6-2,185,"Portsmouth, VA",Norcom HS (VA), 14.0 Pts,4.0 Reb,3.5 Ast
3,Akim Mitchell,25,JR,G,6-5,200,"Charlotte, NC",Carlisle School, 8.1 Pts,4.5 Reb,1.5 Ast
4,Trevond Barnes,22,JR,F,6-9,210,"Lafayette, AL",LaFayette High School, 7.1 Pts,4.0 Reb,0.6 Ast
5,Greg Heckstall,4,SO,G,6-6,195,"Norfolk, VA",, 8.2 Pts,5.9 Reb,2.0 Ast
6,Charles Wilson-Fisher,31,SR,F,6-9,205,"Los Angeles, CA",Quality Education Academy, 6.5 Pts,5.3 Reb,0.5 Ast
7,Lysander Bracey,33,SO,G,6-4,156,"Charlotte, NC",Northside Christian Academy, 5.1 Pts,1.2 Reb,0.5 Ast
8,Austin Colbert,24,JR,F,6-9,210,"Chesapeake, VA",Gill St. Bernard's (NJ), 3.0 Pts,2.3 Reb,0.4 Ast
9,Trey Carver,3,SO,G,6-5,225,"Elizabeth City, NC",Northeastern High School, 2.4 Pts,1.5 Reb,0.1 Ast
10,A.J. Astroth,20,SR,F,6-6,200,"Tampa, FL",Wharton, 3.2 Pts,3.5 Reb,0.5 Ast
11,Eugene Marshall III,45,FR,G,6-3,170,"Hackensack, NJ",Hackensack High School, 1.2 Pts,0.6 Reb,0.3 Ast
12,Jaekwon Carliyle,,,G,5-10,177,"Philadelphia, PA",, 2.2 Pts,1.8 Reb,1.8 Ast
13,Tre Houston,11,SO,G,6-1,155,"Atlanta, GA",Roswell High School, 0.8 Pts,0.7 Reb,0.2 Ast
14,Imani Miller,12,,G,6-1,185,"Knoxville, TN",Quality Education Academy,,,
15,Devon Oakley,21,,G,6-3,185,"Chesapeake, VA",Nansemnd River High School,,,
16,Pierre Sow,5,,C,7-0,215,,,,,
17,Benjamin Stanley,15,,F,6-8,225,,,,,
