,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ronshad Shabazz,2,JR,G,6-5,212,"Raleigh, NC",Huntington Prep (WV), 18.5 Pts,2.5 Reb,3.0 Ast
1,Justin Forrest,1,FR,G,6-2,195,"Decatur, GA",, 13.5 Pts,2.9 Reb,2.0 Ast
2,Griffin Kinney,5,SR,F,6-8,220,"Delaware, OH",Rutherford B. Hayes/Fork Union Military Academy, 10.5 Pts,5.6 Reb,1.3 Ast
3,O'Showen Williams,4,,G,5-11,190,,, 7.8 Pts,2.2 Reb,2.4 Ast
4,Tyrell Johnson,32,JR,F,6-8,200,"Atlanta, GA",Stephenson, 7.4 Pts,4.1 Reb,0.6 Ast
5,Isaac Johnson,0,SO,F,6-9,200,"Charlotte, NC",Providence Day School, 7.3 Pts,8.4 Reb,1.5 Ast
6,Craig Hinton,24,SR,F,6-7,195,"Winston-salem, NC",East Forsyth, 5.0 Pts,3.5 Reb,0.5 Ast
7,Hunter Seacat,50,,F,6-9,215,"Mooresville, NC",Lake Norman HS, 2.6 Pts,2.5 Reb,0.5 Ast
8,Bennett Holley,14,JR,F,6-8,220,"Roanoke, VA",North Cross, 1.9 Pts,1.0 Reb,0.2 Ast
9,Jake Wilson,15,JR,C,7-1,230,"Raleigh, NC",Millbrook High School, 1.2 Pts,2.2 Reb,0.2 Ast
10,Zach Cottrell,34,SO,F,6-5,205,"Hayesville, NC",Hayesville High School, 1.2 Pts,1.5 Reb,0.4 Ast
11,Trey Ford,23,JR,G,6-0,175,"Mooresville, NC",Lake Norman, 2.5 Pts,0.8 Reb,0.2 Ast
12,Nick Hough,3,JR,G,6-4,200,"Harrisburg, NC",, 1.7 Pts,0.9 Reb,0.1 Ast
13,Kevin Kerley,13,JR,G,5-11,171,"Loveland, OH",Moeller HIgh School, 1.7 Pts,0.0 Reb,0.7 Ast
14,Joseph Battle,11,,G,6-3,181,,Abbeville High School,,,
15,Michael Bibby,10,,G,6-3,175,"Phoenix, AZ",Shadow Mountain High School,,,
