,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Donte Wright,13,SR,G,5-10,190,"Jackson, SC",, 12.6 Pts,2.3 Reb,0.9 Ast
1,Damani Applewhite,35,SO,F,6-8,195,"Fayetteville, NC",Westover High School, 12.7 Pts,6.8 Reb,0.7 Ast
2,James Richardson,10,SR,G,6-2,185,"Darlington, SC",Denmark Tech, 10.2 Pts,1.9 Reb,1.0 Ast
3,Janai Raynor Powell,11,JR,G,5-11,160,"Virginia Beach, VA",Kellam High School, 8.2 Pts,3.7 Reb,3.3 Ast
4,Patrell Rogers,,,G,6-2,180,,, 11.2 Pts,2.7 Reb,1.2 Ast
5,Ian Kinard,24,SO,F,6-8,230,"Clinton, SC",Gray Collegiate Academy, 5.5 Pts,4.0 Reb,0.4 Ast
6,Justin Jones,1,SO,G,6-2,185,"Myrtle Beach, SC",, 5.2 Pts,1.6 Reb,0.6 Ast
7,Ozante Fields,5,SO,F,6-7,215,"Denmark, SC",Denmark-Olar HIgh School, 5.0 Pts,4.1 Reb,0.4 Ast
8,Rayshawn Neal,3,FR,G,5-10,185,"Greenville, SC",, 3.9 Pts,1.8 Reb,1.5 Ast
9,David Bottenberg,21,SO,F,6-8,230,"Rockville, MD",Millbrook School, 2.7 Pts,1.8 Reb,0.3 Ast
10,Armani Taylor,33,SO,F,6-9,305,"Moncks Corner, SC",, 2.2 Pts,2.1 Reb,0.1 Ast
11,Dwayne Banks,4,SO,G,5-10,180,"Baltimore, MD",, 0.9 Pts,0.5 Reb,0.7 Ast
12,Ty Solomon,23,SR,G,5-10,175,"Johns Island, SC",Charleston Collegiate School, 2.0 Pts,1.7 Reb,2.8 Ast
13,Tarik Clement,12,SR,G,5-9,155,"Greenville, SC",Greenville High School, 1.0 Pts,0.5 Reb,0.2 Ast
14,Lavar Harewood,0,,G,6-3,200,"Brooklyn, NY",Brooks HS, 0.0 Pts,0.0 Reb,0.0 Ast
15,Tashombe Riley,2,,F,6-7,210,"Orangeburg, SC",Orangeburg-Wilkerson,,,
