,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,B.J. Tyson,21,SR,G,6-3,190,"Wadesboro, NC",Anson HS, 14.9 Pts,4.3 Reb,2.7 Ast
1,Isaac Fleming,0,JR,G,6-3,180,"Wilmington, DE",Massanutten Military Academy (VA), 12.5 Pts,3.8 Reb,4.8 Ast
2,Shawn Williams,55,FR,G,6-0,165,"Little Rock, AR",, 12.4 Pts,1.6 Reb,1.7 Ast
3,Kentrell Barkley,15,JR,G,6-5,205,"Durham, NC",Northern Durham HS, 12.0 Pts,7.0 Reb,2.2 Ast
4,Dimitri Spasojevic,32,FR,F,6-8,230,Serbia,, 6.1 Pts,4.0 Reb,0.7 Ast
5,Jabari Craig,25,SR,F,6-10,235,Canada,Fishburne Military Academy, 5.4 Pts,6.0 Reb,0.5 Ast
6,K.J. Davis,2,FR,G,6-5,185,"Portsmouth, VA",, 3.1 Pts,2.3 Reb,0.3 Ast
7,Justin Whatley,13,FR,F,6-8,235,"Chesapeake, VA",, 2.5 Pts,1.6 Reb,0.4 Ast
8,Aaron Jackson,10,SR,G,6-8,215,"Gahanna, OH",Gahanna Lincoln HS, 2.0 Pts,2.1 Reb,0.3 Ast
9,Usman Haruna,35,JR,F,6-11,215,Nigeria,, 1.0 Pts,2.3 Reb,0.1 Ast
10,Justice Obasohan,52,JR,G,6-5,200,"Wallace, NC",North Carolina School of Science and Math, 1.6 Pts,1.1 Reb,0.3 Ast
11,John Whitley,24,SO,G,5-11,160,"Washington, NC",, 0.7 Pts,0.3 Reb,0.3 Ast
12,Addison Hill,41,JR,G,6-3,180,"Winterville, NC",South Central High Central*, 0.0 Pts,0.5 Reb,0.2 Ast
13,Seth LeDay,3,,G,6-7,200,"Dallas, TX",,,,
14,Jeremy Sheppard,1,,G,6-1,160,"Richmond, VA",John Marshall High School,,,
15,Raquan Wilkins,22,,G,6-5,190,"Atlanta, GA",Westlake High School,,,
