,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Quinton Rose,13,SO,G,6-8,185,"Rochester, NY",Bishop Kearney High School, 15.1 Pts,4.3 Reb,2.2 Ast
1,Levan Shawn Alston,3,JR,G,6-4,170,"Philadelphia, PA",The Haverford School, 13.2 Pts,3.2 Reb,3.1 Ast
2,Obi Enechionyia,0,SR,F,6-8,220,"Springfield, VA",St. James (MD), 10.9 Pts,5.8 Reb,1.2 Ast
3,Josh Brown,1,SR,G,6-3,185,"Newark, NJ",St. Anthony's HS, 9.0 Pts,3.8 Reb,3.3 Ast
4,Nate Pierre-Louis,15,,G,6-4,200,,, 7.8 Pts,3.1 Reb,0.6 Ast
5,Ernest Aflakpui,24,JR,C,6-10,235,Ghana,Archbishop Carroll HS, 4.5 Pts,4.0 Reb,0.6 Ast
6,J.P. Moorman,4,FR,F,6-7,205,"Greensboro, NC",, 3.8 Pts,3.5 Reb,0.7 Ast
7,De'Vondre Perry,22,,F,6-6,220,,, 3.1 Pts,1.8 Reb,0.4 Ast
8,Damion Moore,23,SO,C,6-11,225,"Jackson, MS",Callaway High School, 3.6 Pts,2.0 Reb,0.1 Ast
9,Alani Moore,2,SO,G,5-10,170,"Washington, DC",Friendship Collegiate Academy Public Charter School, 3.1 Pts,1.1 Reb,1.0 Ast
10,Steve Leonard,25,,G,6-6,180,"Collegeville, PA",Perkiomen School, 1.4 Pts,0.4 Reb,0.0 Ast
11,Justyn Hamilton,21,,F,6-10,190,,, 0.3 Pts,0.4 Reb,0.2 Ast
12,Ayan Nunez de Carvalho,32,,G,6-5,190,Argentina,Escuela Normal Superior HS, 0.0 Pts,0.1 Reb,0.0 Ast
13,Trey Lowe,11,,G,6-7,165,"Ewing, NJ",Ewing HS,,,
