,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,McKinley Wright IV,25,FR,G,6-0,185,"Robbinsdale, MN",, 14.2 Pts,4.7 Reb,5.5 Ast
1,George King,24,SR,G,6-6,220,"Fayetteville, NC",Brennan HS, 12.9 Pts,7.8 Reb,1.1 Ast
2,Namon Wright,13,JR,G,6-5,200,"Los Angeles, CA",Pacific Hills HS, 9.7 Pts,3.5 Reb,1.1 Ast
3,Dominique Collier,15,SR,G,6-2,170,"Denver, CO",Denver East HS, 7.5 Pts,1.5 Reb,1.4 Ast
4,Lucas Siewert,23,SO,F,6-10,221,Brazil,Cathedral High School, 6.8 Pts,3.0 Reb,0.7 Ast
5,Tyler Bey,1,FR,G,6-7,206,"Las Vegas, NV",, 6.1 Pts,5.1 Reb,0.5 Ast
6,Dallas Walton,35,FR,F,7-0,222,"Arvada, CO",, 5.7 Pts,3.4 Reb,0.7 Ast
7,Deleon Brown,5,SO,G,6-4,170,"Grand Rapids, MI",Grand Rapids Christian High School, 5.0 Pts,1.2 Reb,0.8 Ast
8,D'Shawn Schwartz,0,,G,6-7,223,,, 3.4 Pts,1.8 Reb,0.3 Ast
9,Lazar Nikolic,11,FR,G,6-7,205,Serbia,, 2.3 Pts,2.3 Reb,1.0 Ast
10,Tory Miller-Stewart,14,SR,F,6-9,246,"Kansas City, KS",, 6.2 Pts,4.7 Reb,0.3 Ast
11,Alexander Strating,10,FR,F,6-7,212,Netherlands,, 1.2 Pts,0.8 Reb,0.0 Ast
12,A.J. Martinka,12,,G,6-5,195,,, 0.0 Pts,0.0 Reb,0.0 Ast
13,Josh Repine,33,SR,G,6-3,180,"Englewood, CO",New Hampton Prep (NH), 0.0 Pts,0.2 Reb,0.2 Ast
14,Evan Battey,21,,F,6-8,283,,,,,
