,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Luwane Pipkins,2,SO,G,5-10,165,"Chicago, IL",Bogan HS, 21.2 Pts,3.6 Reb,4.0 Ast
1,Carl Pierre,12,FR,G,6-4,175,"Boston, MA",, 12.4 Pts,2.2 Reb,1.1 Ast
2,C.J. Anderson,23,SR,G,6-5,175,"Memphis, TN",Arlington HS, 10.6 Pts,5.0 Reb,5.2 Ast
3,Malik Hines,0,JR,F,6-9,240,"Jackson, MS",Murrah HS, 9.0 Pts,6.2 Reb,0.8 Ast
4,Unique McLean,4,FR,G,6-2,175,"Brooklyn, NY",, 5.5 Pts,4.9 Reb,1.8 Ast
5,Rayshawn Miller,42,JR,G,6-1,185,"Boston, MA",Boston Latin Academy, 5.0 Pts,1.6 Reb,1.9 Ast
6,Rashaan Holloway,45,JR,C,6-10,280,"Elmer, NJ",Schalick HS, 9.9 Pts,4.9 Reb,0.3 Ast
7,Chris Baldwin,5,SO,F,6-8,235,"Springfield, MA",Notre Dame Preparatory, 4.8 Pts,4.1 Reb,0.6 Ast
8,Khalea Turner-Morris,14,FR,C,6-9,265,"New Orleans, LA",, 1.3 Pts,1.3 Reb,0.1 Ast
9,Randall West,,,F,6-4,235,,, 2.1 Pts,3.4 Reb,0.4 Ast
10,Jaylen Franklin,13,SO,G,6-0,175,"Springfield, MA",, 0.4 Pts,0.2 Reb,0.4 Ast
11,Mike Gillespie,,FR,G,6-3,180,"Pembroke, MA",, 0.5 Pts,0.8 Reb,0.0 Ast
12,Jaylen Brantley,1,,G,5-11,170,"Springfield, MA",Notre Dame Prep,,,
13,Keon Clergeot,20,,G,6-1,187,"Winter Haven, FL",Auburndale High School,,,
14,Curtis Cobb,33,,G,6-4,175,"Fall River, MA",Wilbraham & Monson Academy,,,
15,Kieran Hayward,3,,G,6-4,195,,St. Joseph's High School,,,
16,Jonathan Laurent,11,,F,6-6,216,"Orlando, FL",Dr. Phillips High School,,,
