,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Keith Braxton,13,JR,G,6-4,208,"Glassboro, NJ",Lawrenceville School, 16.2 Pts,9.8 Reb,3.8 Ast
1,Jamaal King,3,SR,G,5-10,170,"Salisbury, MD",Bishop O'Connell High School, 15.4 Pts,2.2 Reb,4.0 Ast
2,Isaiah Blackmon,11,JR,G,6-1,170,"Charlotte, NC",West Charlotte HS, 11.9 Pts,4.8 Reb,1.0 Ast
3,Andre Wolford,14,SR,G,6-2,175,"North Olmstead, OH",Saint Ignatius HS, 8.7 Pts,2.4 Reb,0.4 Ast
4,Mark Flagg,42,SO,F,6-9,195,"Fairless Hills, PA",Pennsbury High School, 6.6 Pts,4.7 Reb,0.5 Ast
5,Myles Thompson,5,FR,F,6-6,230,"Camden, NJ",Camden HS, 5.6 Pts,3.4 Reb,0.4 Ast
6,Luidgy Laporal,33,SR,C,6-9,240,"Petit-Boutg, Guadeloupe",, 4.5 Pts,3.4 Reb,0.2 Ast
7,Randall Gaskins Jr.,4,JR,G,6-3,180,"Woodbridge, VA",Bishop O'Connell High School, 4.3 Pts,1.6 Reb,1.3 Ast
8,Deivydas Kuzavas,30,JR,C,6-10,210,"Kretinga, Lithuania",St. Mary's Ryken High School, 3.2 Pts,2.4 Reb,0.2 Ast
9,Ramiir Dixon-Conover,1,SO,G,6-3,185,"Newark, NJ",South Kent HS, 1.2 Pts,0.6 Reb,1.0 Ast
10,Precious Ikediashi,15,FR,F,6-8,215,"Hoboken, NJ",Hudson Catholic HS, 1.8 Pts,1.8 Reb,0.0 Ast
11,Jordan Forehand,24,SR,G,6-0,180,"Bridgewater, NJ",IMG Academy, 0.7 Pts,0.0 Reb,0.1 Ast
12,A.J. Labriola,23,FR,G,6-2,175,"Altoona, PA",Bishop Guilfoyle HS, 0.4 Pts,0.1 Reb,0.1 Ast
13,Dan Henry,20,SO,G,5-11,160,"Hamburg, NY",Hamburg High School, 0.3 Pts,0.3 Reb,0.0 Ast
14,Michael Klebon,22,SR,G,6-2,175,"Paxinos, PA",Southern Columbia HS, 0.0 Pts,0.3 Reb,0.0 Ast
15,Bryce Laskey,31,FR,G,6-4,190,"Uniontown, PA",Laurel Highlands HS,,,
16,Scott Meredith,2,SR,G,6-2,180,"Pilot Mountain, NC",Hargrave Military Academy,,,
17,Markus Vallien,0,SO,G,5-10,160,"Houston, TX",St. Pius X High School,,,
