,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kevin Hervey,25,SR,F,6-7,210,"Arlington, TX",Bowie HS, 20.5 Pts,8.5 Reb,2.2 Ast
1,Erick Neal,1,SR,G,5-11,160,"Dallas, TX",Lincoln HS, 16.7 Pts,4.2 Reb,6.7 Ast
2,Johnny Hamilton,13,SR,C,7-0,230,Trinidad and Tobago,St. Augustine High School, 11.1 Pts,8.1 Reb,0.6 Ast
3,Kaelon Wilson,5,SR,G,6-2,180,"Lancaster, TX",Lancaster HS, 11.4 Pts,4.3 Reb,2.0 Ast
4,Nathan Hawkins,3,SR,G,6-5,198,"Garland, TX",Rowlett, 6.3 Pts,2.6 Reb,2.1 Ast
5,Davion Turner,4,JR,G,6-9,185,"Cedar Hill, TX",, 5.4 Pts,2.9 Reb,0.6 Ast
6,Julian Harris,20,SR,F,6-5,220,"Mansfield, TX",Lake Ridge HS, 3.7 Pts,2.7 Reb,0.3 Ast
7,Link Kabadyundi,22,SR,C,7-1,240,Canada,Alma Academy, 2.8 Pts,2.7 Reb,0.1 Ast
8,DJ Bryant,2,SO,G,5-11,180,"Sarasota, FL",Riverview High School, 1.9 Pts,1.4 Reb,1.7 Ast
9,Mairega Clarke,23,SR,G,6-5,165,"Queens, NY",Putnam Science Academy, 1.9 Pts,1.1 Reb,0.4 Ast
10,Scott Muirhead,15,SO,F,6-4,200,"Ennis, TX",Ennis HIgh School, 1.2 Pts,0.3 Reb,0.1 Ast
11,David Azore,11,,G,6-5,205,,,,,
12,Deon Barrett,,,G,5-10,150,"Lancaster, TX",Lancaster High School,,,
13,Patrick Binzer,30,,G,6-2,183,"Weatherford, TX",Weatherford High School,,,
14,Pedro Castro,21,,G,6-6,170,,,,,
15,Edric Dennis,,,G,6-3,188,"Dallas, TX",DeSoto High School,,,
16,Tim Holland,34,,F,6-8,220,,,,,
17,Nils Huizenga,44,,F,6-7,210,,,,,
