,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tarkus Ferguson,4,JR,G,6-4,190,"Belleville, IL",Althoff Catholic High School, 15.5 Pts,6.8 Reb,5.2 Ast
1,Godwin Boahen,25,JR,G,5-11,180,"Toronto, Canada",The Hill Academy, 14.8 Pts,3.5 Reb,3.2 Ast
2,Marcus Ottey,1,JR,G,6-2,185,"Ajax, Canada",St. Benedict's Prep School, 14.8 Pts,3.5 Reb,2.4 Ast
3,Jordan Blount,13,JR,F,6-8,235,"Cork, Ireland",SPIRE Sports Academy, 9.2 Pts,5.6 Reb,1.9 Ast
4,Michael Diggins,2,SO,F,6-8,190,"Las Vegas, NV",Durango High School, 6.7 Pts,3.1 Reb,0.8 Ast
5,Rob Howard Jr.,22,JR,F,6-8,230,"Gary, IN",, 6.2 Pts,3.8 Reb,0.6 Ast
6,Jamie Ahale,20,SO,G,6-5,200,"Montrose, Australia",, 3.5 Pts,1.6 Reb,0.4 Ast
7,Jacob Wiley,3,SO,F,6-7,205,"Houston, TX",Sam Houston High School, 2.8 Pts,3.1 Reb,0.3 Ast
8,Travell Washington,35,FR,F,6-9,235,"San Bernardino, CA",Lawrence Academy, 2.1 Pts,1.2 Reb,0.1 Ast
9,Ralph Bissainthe,5,FR,G,6-6,205,"North Miami, FL",McArthur HS, 0.8 Pts,0.3 Reb,0.4 Ast
10,Dominique Matthews,0,JR,G,6-2,200,"Chicago, IL",Victory Rock Prep, 0.8 Pts,1.3 Reb,0.5 Ast
11,Muhammed Edunjobi,33,FR,G,6-4,210,"Crete, IL",Crete-Monee HS,,,
12,Deon Ejim,10,FR,F,6-7,240,"Toronto, Canada",TRC Academy,,,
13,Abraham Makumator,23,FR,C,7-0,235,"Accra, Ghana",First Baptist Academy,,,
