,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Akwasi Yeboah,15,SO,G,6-5,225,United Kingdom,Barking Abbey HS, 15.2 Pts,5.0 Reb,1.4 Ast
1,UC Iroegbu,1,SR,G,6-0,180,"Sacramento, CA",Capital Christian High School, 8.1 Pts,2.4 Reb,1.5 Ast
2,Elijah Olaniyi,3,FR,F,6-5,200,"Newark, NJ",, 7.8 Pts,3.8 Reb,0.7 Ast
3,Tyrell Sturdivant,12,SR,F,6-7,225,"Chester, PA",Chester HS, 7.3 Pts,4.6 Reb,1.8 Ast
4,Jaron Cornish,0,JR,G,5-11,172,Bahamas,, 8.6 Pts,3.7 Reb,2.9 Ast
5,Junior Saintel,11,SR,G,6-7,190,"Mays Landing, NJ",Holy Spirit High School, 7.1 Pts,4.7 Reb,0.6 Ast
6,Jakub Petras,32,SR,F,6-11,250,Slovakia,Canarias Basketball Academy, 4.7 Pts,2.6 Reb,0.5 Ast
7,Bryan Sekunda,22,SR,G,6-6,195,"State College, PA",State College HS, 5.3 Pts,2.0 Reb,1.8 Ast
8,Jordan McKenzie,10,FR,G,6-1,190,"Concord, NC",, 3.3 Pts,1.3 Reb,2.3 Ast
9,Michael Almonacy,2,SO,G,6-1,170,"Brentwood, NY",Brentwood High School, 2.4 Pts,1.7 Reb,1.2 Ast
10,Anthony Ochefu,35,FR,F,6-8,245,"West Chester, PA",, 2.0 Pts,2.1 Reb,0.1 Ast
11,Andrew Garcia,23,,G,6-5,200,"Harlem, NY",, 2.9 Pts,2.2 Reb,0.3 Ast
12,Corry Long,5,FR,G,6-2,165,"Cincinnati, OH",, 0.8 Pts,0.2 Reb,0.3 Ast
13,Tim Donohoe,4,SR,G,6-3,185,"Saratoga Springs, NY",Albany Academy, 0.0 Pts,0.0 Reb,0.0 Ast
