,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kezie Okpala,0,SO,F,6-9,215,"Orange County, CA",Esperanza High School, 16.9 Pts,5.7 Reb,2.0 Ast
1,Josh Sharma,20,SR,C,7-0,230,"Lexington, MA",Northfield Mt. Hermon HS, 10.2 Pts,7.1 Reb,0.3 Ast
2,Daejon Davis,1,SO,G,6-3,185,"Seattle, WA",Garfield High School, 11.4 Pts,3.0 Reb,4.4 Ast
3,Oscar Da Silva,13,SO,F,6-9,225,"Munich, Germany",Ludwig Gymnasium, 9.5 Pts,6.0 Reb,1.8 Ast
4,Cormac Ryan,23,FR,G,6-5,190,"New York, NY",Milton Academy, 8.7 Pts,3.5 Reb,1.9 Ast
5,Bryce Wills,2,FR,G,6-6,195,"White Plains, NY",Iona Preparatory School, 6.0 Pts,3.6 Reb,2.0 Ast
6,Marcus Sheffield,14,JR,G,6-5,180,"Alpharetta, GA",Chattahoochee HS, 5.6 Pts,1.2 Reb,0.6 Ast
7,Jaiden Delaire,11,FR,F,6-9,200,"North Granby, CT",Granby Memorial HS, 3.8 Pts,2.0 Reb,0.4 Ast
8,Isaac White,4,SO,G,6-2,180,"Adelaide, Australia",Sacred Heart College High School, 3.1 Pts,1.0 Reb,0.3 Ast
9,Lukas Kisunas,32,FR,F,6-10,245,"Vilnius, Lithuania",Brewster Academy, 1.6 Pts,1.8 Reb,0.1 Ast
10,Kodye Pugh,5,SO,F,6-8,205,"Baltimore, MD",Blair Academy, 2.0 Pts,0.9 Reb,0.4 Ast
11,Trevor Stanback,33,JR,F,6-11,225,"Pasadena, CA",Marantha High School, 1.2 Pts,1.5 Reb,0.1 Ast
12,Rodney Herenton,15,JR,G,6-1,185,"Chicago, IL",Whitney Young High School, 1.0 Pts,0.2 Reb,0.0 Ast
13,Sam Beskind,24,FR,G,6-4,193,"Tucson, AZ",Catalina Foothills HS, 0.0 Pts,0.0 Reb,0.0 Ast
14,Keenan Fitzmorris,12,FR,C,7-0,210,"Overland Park, KS",New Hampton School,,,
