,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Chris Silva,30,JR,F,6-9,205,Gabon,Roselle Catholic HS, 14.3 Pts,8.0 Reb,1.2 Ast
1,Frank Booker,5,SR,G,6-4,211,"Augusta, GA",Westside, 12.7 Pts,3.6 Reb,1.2 Ast
2,Maik Kotsar,21,SO,F,6-10,245,Estonia,Sunrise Christian Academy, 8.0 Pts,4.8 Reb,1.4 Ast
3,Wesley Myers,15,SR,G,6-2,180,"Brooklyn, NY",Boys and Girls, 7.8 Pts,2.5 Reb,1.7 Ast
4,Justin Minaya,10,FR,F,6-5,210,"Harrington Park, NJ",, 7.9 Pts,4.2 Reb,1.5 Ast
5,Hassani Gravett,2,JR,G,6-1,183,"Villa Rica, GA",Hargrave Military Academy, 7.4 Pts,3.6 Reb,3.6 Ast
6,Felipe Haase,13,FR,F,6-9,249,Chile,, 5.8 Pts,3.9 Reb,1.0 Ast
7,David Beatty,0,FR,G,6-2,205,"Philadelphia, PA",, 3.0 Pts,1.0 Reb,0.8 Ast
8,Evan Hinson,23,,G,6-4,238,"Deltona, FL",Deltona HIgh School, 2.7 Pts,1.3 Reb,0.3 Ast
9,Kory Holden,1,JR,G,6-2,180,"Salisbury, MD",J.M. Bennett HS, 3.4 Pts,1.3 Reb,1.5 Ast
10,Jason Cudd,33,FR,F,7-1,255,"Myrtle Beach, SC",, 1.3 Pts,1.0 Reb,0.1 Ast
11,Ibrahim Famouke Doumbia,14,FR,F,6-6,205,Mali,, 0.7 Pts,0.8 Reb,0.0 Ast
12,Tommy Corchiani,20,SO,G,6-1,173,"Raleigh, NC",Ravenscroft School, 0.0 Pts,1.0 Reb,0.0 Ast
13,Khadim Gueye,12,SO,F,7-0,235,Senegal,Victory Rock Prep, 0.0 Pts,0.7 Reb,0.0 Ast
14,Christian Schmitt,25,SO,G,6-0,175,"Mars, PA",Mars High School, 0.0 Pts,0.0 Reb,0.0 Ast
