,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Max Strus,31,SR,G,6-6,215,"Hickory Hills, IL",Amos Alonzo Stagg High School, 18.8 Pts,6.0 Reb,2.4 Ast
1,Eli Cain,11,SR,G,6-6,200,"Willingboro, NJ",Saint Benedict's Preparaory School, 13.2 Pts,3.1 Reb,3.5 Ast
2,Femi Olujobi,25,SR,F,6-9,258,"Long Island, NY",Brentwood, 13.0 Pts,5.3 Reb,0.9 Ast
3,Paul Reed,4,SO,F,6-9,210,"Orlando, FL",Wekiva High School, 11.1 Pts,8.1 Reb,0.9 Ast
4,Devin Gage,3,SO,G,6-2,195,"Chicago, IL",Curie Metropolitan High School, 8.7 Pts,3.1 Reb,4.1 Ast
5,Jaylen Butz,2,SO,F,6-9,224,"Fort Wayne, IN",North Side High School, 7.1 Pts,5.8 Reb,1.2 Ast
6,Jalen Coleman-Lands,5,JR,G,6-4,185,"Indianapolis, IN",La Lumiere HS, 9.6 Pts,2.8 Reb,1.3 Ast
7,Lyrik Shreiner,0,JR,G,6-3,190,"Phoenix, AZ",Hillcrest Academy (AZ), 1.6 Pts,1.7 Reb,1.0 Ast
8,Flynn Cameron,21,FR,G,6-3,198,"Auckland, New Zealand",, 1.6 Pts,1.0 Reb,0.6 Ast
9,George Maslennikov,22,FR,F,6-10,234,"Odessa, Ukraine",Holy Spirit Prep (Ga.), 0.4 Pts,0.4 Reb,0.0 Ast
10,Mick Sullivan,23,FR,F,6-8,241,"Aurora, IL",Marmion Academy, 0.5 Pts,0.8 Reb,0.0 Ast
11,John Diener,33,FR,G,6-5,203,"Cedarburg, WI",Cedarburg HS, 0.0 Pts,0.0 Reb,0.0 Ast
12,Darious Hall,13,SO,F,6-7,200,"Little Rock, AR",Mills High School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Jason Malonga,12,SO,G,6-4,180,"Bolingbrook, IL",Benet Academy, 0.0 Pts,0.0 Reb,0.0 Ast
14,Pantelis Xidias,35,SO,G,5-10,165,"Michigan City, IN",La Lumiere HS, 0.0 Pts,0.0 Reb,0.0 Ast
