,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Shake Milton,1,JR,G,6-5,195,"Owasso, OK",Owasso HS, 18.0 Pts,4.7 Reb,4.4 Ast
1,Ben Emelogu,21,SR,G,6-5,205,"Grand Prairie, TX",South Grand Prairie, 10.6 Pts,5.5 Reb,1.7 Ast
2,Jimmy Whitt,31,SO,G,6-4,173,"Columbia, MO",Hickman HS, 10.5 Pts,5.2 Reb,3.5 Ast
3,Jahmal McMurray,0,,G,6-0,175,"Topeka, KS",Sunrise Christian Academy, 14.7 Pts,2.7 Reb,1.5 Ast
4,Ethan Chargois,5,FR,F,6-9,235,"Tulsa, OK",, 9.1 Pts,4.4 Reb,1.1 Ast
5,Jarrey Foster,10,JR,G,6-5,200,"Houston, TX",North Shore HS, 13.2 Pts,5.9 Reb,2.7 Ast
6,Akoy Agau,23,SR,F,6-8,230,"Omaha, NE",Omaha Central, 5.0 Pts,3.6 Reb,0.6 Ast
7,Elijah Landrum,20,FR,G,6-0,180,"Tulsa, OK",, 3.2 Pts,1.6 Reb,1.1 Ast
8,William Douglas,3,FR,G,6-5,180,"Memphis, TN",, 2.0 Pts,1.9 Reb,0.9 Ast
9,Everett Ray,24,FR,F,6-7,220,"Addison, TX",, 2.3 Pts,2.7 Reb,0.4 Ast
10,Luke Wilfong,22,FR,G,6-1,170,"Memphis, TN",, 0.5 Pts,0.1 Reb,0.0 Ast
11,James Pyle,12,SO,G,6-3,175,"Overland Park, KS",St. Thomas Aquinas High school, 0.1 Pts,0.1 Reb,0.1 Ast
12,Isiaha Mike,15,,F,6-8,200,Canada,Trinity International School,,,
