,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tyree Appleby,1,SO,G,6-1,165,"Jacksonville, AR",Jacksonville High School, 17.2 Pts,3.8 Reb,5.6 Ast
1,Rashad Williams,5,FR,G,6-2,180,"Detroit, MI",Wayne Memorial HS, 10.8 Pts,1.8 Reb,0.7 Ast
2,Jaalam Hill,22,JR,F,6-7,225,"Louisville, KY",, 11.2 Pts,6.1 Reb,1.3 Ast
3,Stefan Kenic,13,SO,F,6-9,230,"Belgrade, Serbia",KK Smederevo, 9.2 Pts,4.1 Reb,1.4 Ast
4,Seth Miliner,4,FR,F,6-6,200,"Little Rock, AR",Grand Rapids Christian HS, 7.0 Pts,4.7 Reb,1.0 Ast
5,Kasheem Thomas,2,JR,G,6-0,185,"Chateauguay, Canada",Champlain-Saint Lambert, 5.8 Pts,2.9 Reb,2.9 Ast
6,Al Eichelberger,12,SO,F,6-8,250,"Saginaw, MI",Prolific Prep, 5.2 Pts,3.2 Reb,0.6 Ast
7,Dontel Highsmith,11,SR,G,6-2,200,"Dowagiac, MI",Dowagiac HS, 4.0 Pts,1.5 Reb,1.0 Ast
8,Dibaji Walker,24,FR,F,6-7,190,"Columbus, OH",Woodstock Academy, 4.7 Pts,1.5 Reb,0.5 Ast
9,Deante Johnson,35,FR,F,6-9,210,"Detroit, MI",Detroit Edison Public School Academy HS, 2.6 Pts,4.0 Reb,0.8 Ast
10,Aleksa Popovic,44,FR,F,6-9,215,"Belgrade, Serbia",Partizan HS, 1.0 Pts,1.1 Reb,0.1 Ast
11,David Payne,25,SR,F,6-5,215,"Chicago, IL",Perspectives Charter Academy, 0.3 Pts,0.3 Reb,0.0 Ast
12,Gregory Kolomoisky,3,FR,G,6-4,210,"Geneva, Switzerland",, 0.0 Pts,0.0 Reb,0.0 Ast
13,Liam Doup,33,,G,6-0,170,"Lakewood, OH",Lakewood HS,,,
14,Rasheem Dunn,0,JR,G,6-2,190,"Brooklyn, NY",Thomas Jefferson High School,,,
