,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jessie Govan,15,SR,C,6-10,255,"Queens Village, NY",Wings Academy, 17.3 Pts,7.6 Reb,1.3 Ast
1,James Akinjo,3,FR,G,6-0,180,"Oakland, CA",Salesian College Preparatory, 13.3 Pts,2.9 Reb,5.3 Ast
2,Mac McClung,2,FR,G,6-2,185,"Gate City, VA",Gate City HS, 13.2 Pts,2.6 Reb,1.9 Ast
3,Josh LeBlanc,23,FR,F,6-7,230,"Baton Rouge, LA",Madison Prep Academy, 9.2 Pts,7.3 Reb,1.0 Ast
4,Jamorko Pickett,1,SO,G,6-8,205,"Washington, DC",Massanutten Military Academy, 6.3 Pts,3.8 Reb,1.1 Ast
5,Greg Malinowski,11,SR,G,6-6,200,"Chantilly, VA",Episcopal HS, 5.8 Pts,3.1 Reb,2.0 Ast
6,Trey Mourning,33,SR,F,6-9,220,"Miami, FL",Ransom Everglades HS, 6.4 Pts,3.9 Reb,0.8 Ast
7,Jahvon Blair,0,SO,G,6-3,189,"Brampton, Canada",St. Edmund Campion, 4.4 Pts,1.4 Reb,1.3 Ast
8,Kaleb Johnson,32,SR,G,6-7,220,"South Hill, VA",Carlisle School, 4.4 Pts,2.9 Reb,0.3 Ast
9,Jagan Mosely,4,JR,G,6-3,215,"Marlboro, NJ",St. Anthony High Schoool, 3.2 Pts,1.9 Reb,2.2 Ast
10,Grayson Carter,35,FR,F,6-8,220,"Dallas, TX",John H. Guyer HS, 1.2 Pts,1.1 Reb,0.2 Ast
11,George Muresan,20,JR,F,6-9,210,"Potomac, MD",St. Andrew's Episcopal School, 1.0 Pts,1.0 Reb,0.0 Ast
12,Jaden Robinson,22,FR,G,6-3,180,"Baltimore, MD",Mount St. Joseph HS, 0.0 Pts,0.0 Reb,0.0 Ast
13,Omer Yurtseven,44,JR,C,7-0,275,"Istanbul, Turkey",Fenerbahce Baseketbol Subesi,,,
