,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Denzel Mahoney,34,SO,G,6-4,213,"Oviedo, FL",Hagerty High School, 19.3 Pts,5.1 Reb,1.3 Ast
1,Ledarrius Brewer,25,FR,G,6-5,200,"Meridian, MS",, 14.5 Pts,3.8 Reb,1.3 Ast
2,Daniel Simmons,23,SR,G,6-2,204,"Biggersville, MS",Biggersville HIgh School, 12.3 Pts,3.7 Reb,2.0 Ast
3,Justin Carpenter,20,FR,F,6-9,230,Denmark,, 8.5 Pts,4.7 Reb,0.7 Ast
4,Milos Vranes,4,SR,F,6-7,200,Serbia,North Dakota State College of Science (JC), 5.9 Pts,4.0 Reb,0.6 Ast
5,Jonathan Dalton,5,JR,G,5-10,155,"New Orleans, LA",West Jefferson High School, 5.3 Pts,2.2 Reb,5.4 Ast
6,Ray Kowalski,3,FR,G,6-3,195,"Concord, NC",Concord High School, 4.9 Pts,1.2 Reb,0.7 Ast
7,Mark Laros,42,JR,C,6-10,223,Denmark,, 3.8 Pts,3.5 Reb,0.3 Ast
8,Isaiah Gable,13,FR,F,6-7,195,"Greenville, OH",, 3.8 Pts,1.6 Reb,0.4 Ast
9,Donnie Lewis,15,JR,G,6-1,160,"Lexington, KY",, 0.7 Pts,0.8 Reb,1.3 Ast
10,Dondre Duffus,1,,G,6-3,183,"Palm Beach, FL",Boyd H. Anderson High School, 5.7 Pts,1.7 Reb,1.0 Ast
11,Khalil Cuffee,10,,G,6-4,210,,,,,
12,Skyler Hogan,22,,G,6-3,180,,,,,
