,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Tyler Kohl,1,SR,F,6-5,220,"Allentown, PA",Coastal Academy, 18.1 Pts,7.0 Reb,4.6 Ast
1,Ian Krishnan,3,FR,G,6-2,180,"Boyds, MD",Proctor Academy, 12.0 Pts,2.0 Reb,1.2 Ast
2,Jamir Coleman,15,JR,F,6-7,215,"San Antonio, TX",, 12.1 Pts,6.2 Reb,0.9 Ast
3,Joe Hugley,21,JR,F,6-7,215,"Gaithersburg, MD",Magruder HS, 12.3 Pts,5.2 Reb,0.2 Ast
4,Deion Bute,14,SR,C,6-9,220,"Philipsburg, St. Maarten",St. Maarten Academy, 8.5 Pts,5.9 Reb,0.5 Ast
5,Kashaun Hicks,2,SO,F,6-6,225,"Jersey City, NJ",MacDuffie School, 4.1 Pts,2.5 Reb,0.6 Ast
6,Tyson Batiste,13,JR,G,6-2,185,"Springfield, MO",Notre Dame Preparatory, 3.6 Pts,2.5 Reb,2.7 Ast
7,Karrington Wallace,23,FR,F,6-7,200,"Philadelphia, PA",, 3.0 Pts,2.7 Reb,0.3 Ast
8,Thai Segwai,11,FR,G,6-2,185,"London, United Kingdom",City of London Academy, 2.5 Pts,1.4 Reb,1.3 Ast
9,Mike Underwood,24,FR,F,6-6,200,"Fort Worth, TX",, 1.6 Pts,0.5 Reb,0.3 Ast
10,Chris Williams,24,JR,G,6-6,180,"Chicago, IL",St. Rita of Cascia High School, 1.9 Pts,0.5 Reb,0.3 Ast
11,Will Ellis,10,FR,G,6-2,175,"Valley Stream, NY",Cheshire Academy, 1.1 Pts,1.0 Reb,0.2 Ast
12,Harrison Kay,0,JR,C,6-11,240,"Covina, CA",Bishop Amat Memorial High School, 0.3 Pts,0.6 Reb,0.0 Ast
13,Donyell Marshall Jr.,30,JR,F,6-6,175,"Pepper Pike, OH",Orange High School, 0.5 Pts,0.4 Reb,0.0 Ast
14,Tyler Rowe,55,,G,5-9,160,"East Hartford, CT",,,,
