,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Carlos Johnson,23,JR,G,6-3,215,"Centralia, IL",Findlay College Prep, 14.6 Pts,4.1 Reb,1.5 Ast
1,Alessandro Lever,25,SO,C,6-10,230,"Bolzano, Italy",Grissin Bon Reggio Emilia, 12.7 Pts,4.2 Reb,1.4 Ast
2,Michael Finke,43,SR,F,6-10,235,"Champaign, IL",Centennial HS, 12.2 Pts,5.1 Reb,1.4 Ast
3,Damari Milstead,11,SO,G,6-2,190,"Oakland, CA",Moreau Catholic High School, 10.3 Pts,2.6 Reb,3.6 Ast
4,Trey Drechsel,2,SR,G,6-6,205,"Woodinville, WA",, 8.2 Pts,5.8 Reb,2.5 Ast
5,Oscar Frayer,4,JR,F,6-7,190,"Oakland, CA",Moreau Catholic High School, 7.3 Pts,4.4 Reb,1.1 Ast
6,Matt Jackson,5,SR,F,6-8,230,"Melbourne, Australia",Diamond Valley HS, 4.2 Pts,2.8 Reb,1.0 Ast
7,Tim Finke,24,FR,G,6-6,215,"Champaign, IL",Champaign Central HS, 3.5 Pts,2.8 Reb,0.9 Ast
8,Gerard Martin,42,SR,G,6-7,225,"Manly, Australia",Australian Institute of Sport, 3.8 Pts,2.4 Reb,1.4 Ast
9,Roberts Blumbergs,12,SO,F,6-10,220,"Ventspils, Latvia",Get Better Academy, 3.2 Pts,2.1 Reb,0.3 Ast
10,Raef Gerdes,15,FR,F,6-7,185,"Lee's Summit, MT",Summit Christian HS, 1.6 Pts,0.0 Reb,0.3 Ast
11,Quinn Smith,35,FR,G,6-6,205,"Brooklyn Park, MN",Maranatha Christian HS, 0.0 Pts,0.0 Reb,0.0 Ast
12,Isiah Brown,1,JR,G,6-2,175,"Lynnwood, WA",Lakeside School,,,
13,Brent Hibbitts,3,JR,F,6-8,210,"Hudsonville, MI",Hudsonville HS,,,
14,Caleb Holifield,22,FR,G,6-2,185,"Duluth, GA",The Walker School,,,
15,J.J. Rhymes,0,JR,G,6-4,205,"Phoenix, AZ",,,,
