,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Grant Williams,2,SO,F,6-5,234,"Charlotte, NC",Providence Day School, 15.3 Pts,6.0 Reb,1.9 Ast
1,Admiral Schofield,5,JR,F,6-5,240,"Zion, IL",Zion-Benton TownshiP HS, 13.8 Pts,6.3 Reb,1.5 Ast
2,Lamonte Turner,1,SO,G,6-1,190,"Florence, AL",Arlington Country Day School, 10.7 Pts,3.2 Reb,2.1 Ast
3,Jordan Bowden,23,SO,G,6-3,180,"Knoxville, TN",22f Basketball Academy, 9.3 Pts,3.5 Reb,1.8 Ast
4,Jordan Bone,0,SO,G,6-1,173,"Nashville, TN",The Ensworth School, 7.3 Pts,2.1 Reb,3.6 Ast
5,James Daniel,3,SR,G,5-10,165,"Hampton, VA",Phoebus HS, 5.8 Pts,1.4 Reb,2.9 Ast
6,Kyle Alexander,11,JR,F,6-9,215,Canada,ACTS Athlete Institute, 5.6 Pts,5.6 Reb,0.3 Ast
7,Chris Darrington,32,JR,G,6-1,179,"Toledo, OH",, 2.7 Pts,0.6 Reb,0.8 Ast
8,Derrick Walker,15,FR,F,6-8,238,"Kansas City, MO",, 1.9 Pts,2.3 Reb,0.3 Ast
9,John Fulkerson,10,FR,F,6-7,203,"Kingsport, TN",Briarcrest Christian School, 1.8 Pts,1.4 Reb,0.5 Ast
10,Yves Pons,35,FR,F,6-5,203,France,, 0.7 Pts,0.5 Reb,0.2 Ast
11,Jalen Johnson,13,FR,G,6-5,177,"Durham, NC",, 1.2 Pts,0.8 Reb,0.4 Ast
12,Zach Kent,33,FR,F,6-10,224,"Magnolia, DE",, 2.0 Pts,1.5 Reb,0.0 Ast
13,Lucas Campbell,24,JR,G,6-3,180,"Knoxville, TN",Christian Academy of Knoxville, 1.0 Pts,0.3 Reb,0.7 Ast
14,Jacob Fleschman,4,FR,G,6-1,160,"Austin, TX",, 0.0 Pts,0.0 Reb,0.0 Ast
15,Brad Woodson,12,JR,G,6-1,180,"Murfreesboro, TN",Riverdale HS, 0.0 Pts,0.0 Reb,0.0 Ast
