,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Roddy Peters,23,SR,G,6-3,192,"Washington, DC",Suitland, 19.7 Pts,5.9 Reb,4.2 Ast
1,Tevon Saddler,1,SR,G,6-6,205,"Aberdeen, MD",St. Frances HS, 15.8 Pts,6.6 Reb,2.8 Ast
2,Lafayette Rutledge,3,SR,G,6-1,175,"Gautier, MS",Gautier High School, 10.1 Pts,1.4 Reb,0.4 Ast
3,Jahvaughn Powell,2,SR,G,6-1,170,"Tallahassee, FL",Lincoln HIgh School, 9.9 Pts,2.8 Reb,2.7 Ast
4,Kimani Jackson,35,SR,F,6-8,223,"Arlington, TX",Seguin HIgh School, 8.6 Pts,5.8 Reb,0.4 Ast
5,Kevin Johnson,25,FR,G,5-10,160,"Thibodaux, LA",, 6.6 Pts,2.8 Reb,2.6 Ast
6,Ryghe Lyons,22,FR,F,6-10,230,"Slidell, LA",, 5.0 Pts,3.6 Reb,1.4 Ast
7,Legend Robertin,0,SR,C,7-1,250,United Kingdom,Believe Prep, 2.3 Pts,2.1 Reb,0.0 Ast
8,Stevie Repichowski,40,SR,G,6-5,195,"Lansing, MI",Kingdom Prep Academy (IA), 3.0 Pts,0.7 Reb,0.1 Ast
9,Zaquavian Smith,4,JR,G,6-0,170,"Statesboro, GA",, 9.3 Pts,3.7 Reb,0.5 Ast
10,Daniel Regis,21,JR,C,6-7,235,Grenada,, 2.6 Pts,2.7 Reb,0.2 Ast
11,Maurice O'Field,5,,G,6-5,210,"Cleveland, OH",John Jay HS (OH), 4.3 Pts,2.8 Reb,0.0 Ast
12,Zach Young,10,SR,G,6-0,165,New Zealand,Impact Academy, 0.5 Pts,0.3 Reb,0.5 Ast
13,Rafe Blades,33,FR,G,6-5,170,"Thibodaux, LA",, 0.0 Pts,0.6 Reb,0.2 Ast
14,Jeremy Verhagen,11,,C,6-10,230,,Florence HS,,,
