,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Seth Towns,31,SO,F,6-7,205,"Columbus, OH",Northland High School, 16.0 Pts,5.7 Reb,1.8 Ast
1,Chris Lewis,0,SO,F,6-9,235,"Alpharetta, GA",Milton High School, 12.9 Pts,5.6 Reb,1.3 Ast
2,Justin Bassey,20,SO,G,6-5,210,"Denver, CO",Colorado Academy, 7.7 Pts,5.7 Reb,2.5 Ast
3,Christian Juzang,22,SO,G,6-2,175,"Tarzana, CA",Vewpoint School, 7.2 Pts,2.8 Reb,2.7 Ast
4,Bryce Aiken,11,SO,G,6-0,175,"Randolph, NJ",The Patrick School, 14.1 Pts,2.1 Reb,2.9 Ast
5,Corey Johnson,25,JR,G,5-11,200,Canada,Vermont Academy, 6.4 Pts,2.8 Reb,1.2 Ast
6,Danilo Djuricic,30,FR,F,6-8,210,Canada,, 5.1 Pts,2.7 Reb,0.3 Ast
7,Rio Haskett,5,FR,G,6-3,195,"Richmond, VA",, 3.3 Pts,1.8 Reb,1.1 Ast
8,Robert Baker,35,SO,F,6-10,202,"Woodstock, GA",The Walker School, 2.5 Pts,2.9 Reb,0.6 Ast
9,Henry Welsh,44,SO,F,6-10,250,"Redondo Beach, CA",Loyola High School, 1.7 Pts,1.9 Reb,0.3 Ast
10,Weisner Perez,23,JR,F,6-6,210,"Berwyn, IL",Morton West, 2.2 Pts,1.9 Reb,0.1 Ast
11,Reed Farley,33,FR,G,6-4,190,"La Jolla, CA",, 1.2 Pts,1.3 Reb,0.4 Ast
12,Chris Egi,24,,F,6-9,215,Canada,Montverde Academy (FL), 2.5 Pts,1.5 Reb,0.3 Ast
13,Andre Chatfield,,,G,6-4,185,"Lilburn, GA",Norcross HS, 0.6 Pts,0.2 Reb,0.4 Ast
14,Robbie Feinberg,32,,G,6-4,200,"Hidden Hills, CA",Sierra Canyon HS, 1.0 Pts,0.0 Reb,0.0 Ast
15,Balsa Dragovic,14,,F,6-10,220,Serbia,Cantwell-Sacred Heart of Mary (CA), 0.0 Pts,0.0 Reb,0.0 Ast
16,Zach Yoshor,21,,G,6-6,205,"Houston, TX",Robert M. Beren Academy, 0.0 Pts,0.3 Reb,0.0 Ast
17,Tommy McCarthy,3,,G,6-0,175,"Rancho Santa Fe, CA",La Costa Canyon,,,
18,James McLean,2,,G,6-0,185,"Atherton, CA",Sacred Heart Preparatory,,,
