,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Pookie Powell,0,SR,G,6-0,185,"Orlando, FL",Dr. Phillips, 15.0 Pts,3.7 Reb,2.7 Ast
1,Isiah Deas,10,JR,G,6-6,195,"Brooklyn, NY",Coastal Academy, 11.9 Pts,2.6 Reb,1.7 Ast
2,David Beatty,1,SO,G,6-2,200,"Philadelphia, PA",Imhotep Charter School, 7.7 Pts,2.8 Reb,1.5 Ast
3,Saul Phiri,13,JR,G,6-4,210,"Haverhill, MA",Putnam Science Academy, 11.3 Pts,3.7 Reb,2.0 Ast
4,Traci Carter,25,JR,G,6-1,175,"Philadelphia, PA",Life Center Academy, 6.4 Pts,2.7 Reb,3.3 Ast
5,Jared Kimbrough,24,FR,F,6-8,220,"Neptune, NJ",Neptune HS, 5.0 Pts,4.9 Reb,0.7 Ast
6,Ed Croswell,11,FR,F,6-8,255,"Philadelphia, PA",St. Joseph's Prep, 4.6 Pts,7.0 Reb,0.6 Ast
7,Miles Brookins,4,SO,C,6-10,220,"Cypress, CA",Mater Dei High School, 5.0 Pts,2.6 Reb,0.4 Ast
8,Jack Clark,5,FR,G,6-8,182,"Cheltenham, PA",Cheltenham HS, 10.6 Pts,4.3 Reb,1.1 Ast
9,Jamir Moultrie,3,SO,G,6-1,175,"Washington, DC",Bishop McNamara High School, 4.3 Pts,0.8 Reb,0.6 Ast
10,Cheddi Mosely,12,SR,G,6-3,185,"Jersey City, NJ",St. Anthony's HS, 3.5 Pts,1.6 Reb,0.4 Ast
11,Cian Sullivan,31,SO,C,7-2,215,"Tralee, Ireland",St. Andrew's High School, 1.0 Pts,1.4 Reb,0.0 Ast
12,Jayson Brower,23,FR,F,6-5,195,"Syracuse, NY",Syracuse Academy of Science, 0.4 Pts,0.4 Reb,0.2 Ast
13,Andrew Lafond,14,FR,G,5-10,150,"Horsham, PA",Archbishop Wood HS, 0.0 Pts,0.2 Reb,0.2 Ast
14,Scott Spencer,2,JR,G,6-6,200,"Suffolk, VA",Blue Ridge High School,,,
