,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jordan Murphy,3,JR,F,6-6,230,"San Antonio, TX",Brennan HS, 16.8 Pts,11.3 Reb,1.4 Ast
1,Nate Mason,2,SR,G,6-1,180,"Decatur, GA",Arlington Country Day, 16.7 Pts,3.6 Reb,4.2 Ast
2,Isaiah Washington,11,FR,G,6-1,160,"Harlem, NY",, 8.7 Pts,2.6 Reb,2.3 Ast
3,Dupree McBrayer,1,JR,G,6-4,175,"Queens, NY",Sunrise Christian Academy, 9.4 Pts,2.1 Reb,2.4 Ast
4,Amir Coffey,5,SO,G,6-8,195,"Hopkins, MN",Hopkins High School, 14.0 Pts,4.1 Reb,3.3 Ast
5,Reggie Lynch,22,SR,C,6-10,257,"Edina, MN",Edina, 10.1 Pts,8.0 Reb,1.3 Ast
6,Davonte Fitzgerald,20,SR,F,6-7,209,"Atlanta, GA",Tucker, 3.7 Pts,2.4 Reb,0.3 Ast
7,Jamir Harris,4,FR,G,6-2,185,"North Brunswick, NJ",, 3.9 Pts,0.9 Reb,0.6 Ast
8,Michael Hurt,42,SO,F,6-7,200,"Rochester, MN",John Marshall High School, 3.2 Pts,2.5 Reb,0.9 Ast
9,Bakary Konate,21,SR,C,6-11,230,Mali,Sunrise Christian Academy, 1.8 Pts,3.5 Reb,0.3 Ast
10,Gaston Diedhiou,41,SR,F,6-9,230,Senegal,Canarias Academy, 1.7 Pts,1.3 Reb,0.3 Ast
11,Conroy Hunt,13,FR,G,5-10,170,"New Orleans, LA",, 1.0 Pts,0.5 Reb,0.0 Ast
12,Brady Rudrud,10,SO,G,6-2,185,"Eden Prairie, MN",Eden Prairie High School, 0.3 Pts,0.3 Reb,0.2 Ast
13,Eric Curry,24,,F,6-9,235,"Memphis, TN",Ridgeway High School,,,
14,Jarvis Johnson,12,,G,6-1,185,"Minneapolis, MN",DeLaSalle HS,,,
15,Matz Stockman,35,,C,7-0,240,Norway,Canaria Basketball Academy,,,
