,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Terry Winn,3,SR,F,6-7,240,"Monroe, LA",Westwind Prep, 12.6 Pts,4.5 Reb,1.6 Ast
1,Lesley Varner Jr.,11,JR,F,6-7,180,"Dallas, TX",Cedar HIll High School, 11.1 Pts,5.3 Reb,1.1 Ast
2,Tyson Smith,23,SR,G,6-1,185,"Baltimore, MD",Westwind Prep, 10.3 Pts,2.3 Reb,1.7 Ast
3,Javon Levi,14,SO,G,5-10,165,"Kileen, TX",Shoemaker High School, 9.9 Pts,4.0 Reb,5.5 Ast
4,Jordan Jackson,22,JR,G,6-3,180,"Houston, TX",St. Pius X High School, 8.7 Pts,2.9 Reb,1.1 Ast
5,Greg Bowie,0,SO,G,6-2,165,"San Antonio, TX",Athlos Leadership Academy, 8.7 Pts,2.2 Reb,1.1 Ast
6,Solomon Hainna,1,SR,F,6-7,195,"Inglewood, CA",Palisades Charter High School, 3.8 Pts,2.9 Reb,0.5 Ast
7,John Crnogorac,20,SR,C,7-0,220,"Sydney, Australia",Marshall Academy, 2.1 Pts,2.1 Reb,0.1 Ast
8,Ndene Gueve,12,JR,F,6-10,230,"Dakar, Senegal",, 3.0 Pts,2.7 Reb,0.3 Ast
9,Uche Dibiamaka,15,FR,G,6-3,175,"Adelaide, Australia",Second Baptist School, 1.7 Pts,1.1 Reb,0.5 Ast
10,Isaiah Fontaine,21,JR,F,6-9,200,"Chelsea, MA",Brimmer & May School, 1.2 Pts,1.3 Reb,0.0 Ast
11,Marlon Williams,24,SO,G,6-2,188,"Laredo, TX",United High School, 0.4 Pts,0.5 Reb,0.4 Ast
12,Quinton Johnson II,2,FR,G,6-4,170,"Oklahoma City, OK",Next Level Prep, 0.0 Pts,1.0 Reb,0.0 Ast
13,Jamal Gaines,5,FR,F,6-9,210,"Dallas, TX",Universal Academy,,,
14,Nick Mora,10,JR,G,6-1,167,"Weslaco, TX",Weslaco High School,,,
