,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Eric Williams Jr.,50,SO,G,6-6,205,"Port Huron, MI",New Haven High School, 14.0 Pts,7.6 Reb,1.4 Ast
1,Sincere Carry,35,FR,G,6-1,180,"Solon, OH",Solon HS, 12.1 Pts,3.6 Reb,5.8 Ast
2,Michael Hughes,21,SO,C,6-8,250,"Kansas City, MO",Liberty North High School, 11.2 Pts,6.5 Reb,0.9 Ast
3,Marcus Weathers,5,SO,F,6-5,225,"Overland Park, KS",Shawnee Mission North HIgh School, 10.0 Pts,6.4 Reb,0.8 Ast
4,Frankie Hughes,3,SO,G,6-4,195,"Cleveland, OH",Garfield Heights High School, 9.0 Pts,2.2 Reb,1.6 Ast
5,Tavian Dunn-Martin,0,SO,G,5-8,155,"Huntington, WV",Huntington HIgh School, 7.7 Pts,1.4 Reb,2.6 Ast
6,Lamar Norman Jr.,22,FR,G,6-3,175,"Grand Rapids, MI",Godwin Heights HS, 4.8 Pts,1.6 Reb,0.4 Ast
7,Austin Rotroff,34,FR,F,6-10,235,"Wauseon, OH",Wauseon HS, 4.2 Pts,2.4 Reb,0.2 Ast
8,Mike Lewis II,1,JR,G,6-1,185,"St. Louis, MO",Chaminade College Preparatory School, 5.6 Pts,0.8 Reb,0.4 Ast
9,Amari Kelly,23,FR,F,6-9,225,"Long Island, NY",Meadowcreek HS, 2.1 Pts,2.1 Reb,0.3 Ast
10,Brandon Wade,2,FR,G,6-2,185,"Ann Arbor, MI",Skyline HS, 1.0 Pts,0.7 Reb,0.8 Ast
11,Gavin Bizeau,14,FR,F,6-11,230,"Plainfield, IN",Plainfield HS, 1.3 Pts,0.7 Reb,0.1 Ast
12,Kellon Taylor,20,JR,F,6-5,220,"Landover, MD",DeMatha Catholic High School, 0.8 Pts,1.2 Reb,0.3 Ast
13,Caleb Davis,31,JR,G,6-0,175,"New Kensington, PA",Valley High School, 0.0 Pts,0.5 Reb,0.0 Ast
14,Zach Snyder,32,SR,F,6-5,210,"Cranberry Township, PA",Seneca Valley HS, 0.0 Pts,0.3 Reb,0.0 Ast
15,James Ellis,,FR,C,6-11,230,"Pittsburgh, PA",Westinghouse HS,,,
16,Dylan Swingle,25,FR,C,6-11,300,"Chillicothe, OH",Paint Valley HS,,,
