,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Saben Lee,0,SO,G,6-2,183,"Phoenix, AZ",Corona del Sol High School, 12.7 Pts,3.3 Reb,3.8 Ast
1,Aaron Nesmith,24,FR,F,6-6,213,"Charleston, SC",Porter Gaud HS, 11.0 Pts,5.5 Reb,1.4 Ast
2,Simisola Shittu,11,FR,F,6-10,240,"Burlington, Canada",Vermont Academy, 10.9 Pts,6.7 Reb,1.8 Ast
3,Matt Ryan,32,JR,F,6-8,209,"Cortlandt Manor, NY",Iona Prep (NY), 8.1 Pts,2.7 Reb,0.9 Ast
4,Joe Toye,2,SR,G,6-7,210,"Chicago, IL",Whitney Young HS, 6.9 Pts,2.7 Reb,0.7 Ast
5,Yanni Wetzell,1,JR,F,6-10,240,"Auckland, New Zealand",, 5.9 Pts,3.8 Reb,0.3 Ast
6,Maxwell Evans,3,SO,G,6-2,192,"Houston, TX",Bellaire High School, 3.8 Pts,1.4 Reb,1.2 Ast
7,Matthew Moyer,13,SO,F,6-8,217,"Gahanna, OH",South Kent School, 3.7 Pts,3.0 Reb,0.6 Ast
8,Clevon Brown,15,JR,F,6-8,240,"San Antonio, TX",Winston Churchill High School, 3.3 Pts,2.8 Reb,0.5 Ast
9,Darius Garland,10,FR,G,6-2,175,"Nashville, TN",Brentwood Academy, 16.2 Pts,3.8 Reb,2.6 Ast
10,Mac Hunt,42,FR,G,6-6,182,"Chattanooga, TN",McCallie HS, 1.3 Pts,0.0 Reb,0.3 Ast
11,Isaiah Rice,14,SO,G,5-11,195,"Indianapolis, IN",Park Tudor School, 0.0 Pts,0.0 Reb,0.0 Ast
12,Ejike Obinna,50,SO,F,6-10,234,"Enugu, Nigeria",Virginia Academy,,,
