,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Brandon Tabb,3,SR,G,6-5,200,"Hampton, VA",Kecoughtan High School, 18.9 Pts,3.6 Reb,1.6 Ast
1,Isaiah Bailey,2,JR,G,6-6,205,"Compton, CA",, 16.1 Pts,5.3 Reb,4.8 Ast
2,Shawntrez Davis,12,JR,F,6-9,220,"Atlanta, GA",, 14.7 Pts,8.7 Reb,1.3 Ast
3,Soufiyane Diakite,11,JR,F,6-6,192,"Bronx, NY",Wings Academy, 10.5 Pts,9.8 Reb,1.1 Ast
4,Malik Maitland,1,JR,G,5-11,170,"Daytona Beach, FL",Father Lopez Catholic, 10.0 Pts,2.7 Reb,4.5 Ast
5,Jeffrey Altidort,21,SR,G,6-1,180,"Coral Springs, FL",Coral Springs High School, 6.4 Pts,2.4 Reb,2.4 Ast
6,Houston Smith,22,SO,G,6-4,210,"Columbus, OH",Columbus Africentric High School, 4.9 Pts,4.1 Reb,1.2 Ast
7,Armani Collins,4,JR,G,6-5,190,"San Francisco, CA",Stuart Hall HS, 4.1 Pts,2.2 Reb,0.5 Ast
8,Davis Francis,23,JR,F,6-6,215,"Brooklyn, NY",, 2.7 Pts,2.2 Reb,0.5 Ast
9,Ulmer Manzie,32,SO,F,6-7,235,"Columbus, OH",Africentric HS, 1.9 Pts,2.0 Reb,0.2 Ast
10,Rodney Ross,5,SR,F,6-8,220,"Atlanta, GA",Pebblebrook High School, 0.9 Pts,0.7 Reb,0.0 Ast
11,Jamal Gaines,33,,G,6-3,185,"Sarasota, FL",Booker HIgh School, 0.5 Pts,0.3 Reb,0.0 Ast
12,Quvondo QV Johnson,15,,G,6-3,180,,,,,
