,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ivy Smith Jr.,1,JR,G,6-0,165,"Tacoma, WA",Rainier Beach High School, 13.3 Pts,3.3 Reb,4.7 Ast
1,Dallas Polk-Hilliard,3,JR,G,6-7,185,"Milwaukee, WI",Messmer High School, 12.5 Pts,5.4 Reb,0.9 Ast
2,Devante Jackson,25,JR,F,6-9,200,"Milwaukee, WI",Brown Deer High School, 8.1 Pts,3.9 Reb,1.1 Ast
3,Axel Mpoyo,11,JR,F,6-8,215,"Meridian, ID",Meridian High School, 7.4 Pts,5.6 Reb,0.5 Ast
4,Prince Moss,22,SO,G,6-7,180,"Bessemer, AL",, 6.6 Pts,2.8 Reb,0.6 Ast
5,Anthony Gaston,4,JR,G,6-4,205,"Richmond, VA",Highland Springs High School, 6.5 Pts,2.8 Reb,0.8 Ast
6,Lasani Johnson,5,JR,G,6-3,180,"Dallas, TX",, 9.5 Pts,3.4 Reb,0.9 Ast
7,Nigel Ribeiro,2,SR,G,6-0,170,"Chesapeake, VA",Oscar Smith, 4.2 Pts,2.4 Reb,1.6 Ast
8,Zavier Peart,21,SR,F,6-10,260,"Miami, FL",Coral Reef Senior High School, 3.9 Pts,3.0 Reb,0.5 Ast
9,Travon Bunch,24,JR,C,7-1,230,"Racine, WI",, 3.5 Pts,3.2 Reb,0.4 Ast
10,Shaq Athie,0,JR,G,6-4,195,"Cincinnati, OH",, 2.1 Pts,1.8 Reb,1.0 Ast
11,Drake Wilks,10,JR,G,6-5,195,"Little Rock, AR",Harmony Grove High School, 2.0 Pts,0.8 Reb,1.0 Ast
12,Bobby Jackson,12,SR,G,6-7,185,"Atlanta, GA",Berkmar High School, 0.8 Pts,0.8 Reb,0.2 Ast
13,Jay Head,23,SO,F,6-7,190,"Monroe, LA",, 0.0 Pts,0.0 Reb,0.0 Ast
