,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jamal Aytes,15,SR,F,6-6,225,"San Diego, CA",JSerra Catholic, 12.7 Pts,5.3 Reb,0.7 Ast
1,Jadon Cohee,12,JR,G,6-4,185,Canada,Walnut Grove Secondary, 12.6 Pts,2.5 Reb,3.1 Ast
2,Brandon Better,2,JR,G,6-3,185,"Suitland, MD",, 12.8 Pts,2.4 Reb,1.3 Ast
3,James McGee,14,SR,G,6-2,190,"San Clemente, CA",Mater Dei HS, 8.7 Pts,2.1 Reb,2.4 Ast
4,Dwayne Morgan,,,F,6-8,205,"Baltimore, MD",St. Frances Academy, 12.2 Pts,6.7 Reb,0.9 Ast
5,Dre Marin,4,FR,G,5-11,165,"Glendale, AZ",, 7.4 Pts,3.7 Reb,2.0 Ast
6,Christian Musoko,34,SR,F,6-8,235,Democratic Republic of the Congo,Layton Christian High School, 6.1 Pts,4.1 Reb,0.4 Ast
7,Jacob Calloway,10,SO,F,6-8,205,"Juneau, AK",Thunder Mountain High School, 4.7 Pts,3.6 Reb,0.8 Ast
8,Ivan Madunic,22,SO,F,6-11,220,Croatia,, 3.2 Pts,3.5 Reb,0.3 Ast
9,Jamil Jackson,1,SO,G,6-6,190,"Minneapolis, MN",, 2.8 Pts,0.4 Reb,1.0 Ast
10,Matthew Johnson,33,JR,G,6-4,185,"Las Vegas, NV",Coronado HS, 0.9 Pts,0.5 Reb,0.4 Ast
11,Jordan Lyons,5,,G,6-7,200,,, 0.4 Pts,0.3 Reb,0.2 Ast
12,Joel Swallow,44,FR,F,6-9,220,"Fillmore, UT",Millard HS, 0.7 Pts,0.9 Reb,0.0 Ast
13,Elijah Graves,30,SR,F,6-4,210,"Las Vegas, NV",, 0.8 Pts,0.5 Reb,0.3 Ast
14,Andre Adams,32,,F,6-9,230,"Avondale, AZ",Angelo State,,,
15,Cameron Oluyitan,23,,G,6-7,190,"Houston, TX",Clements High School,,,
16,Taelin Webb,13,,G,6-0,195,,Roosevelt,,,
