,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Desmond Cambridge,24,SO,G,6-4,180,"Nashville, TN",Hun School of Princeton, 15.7 Pts,3.8 Reb,0.9 Ast
1,Tamenang Choh,25,SO,F,6-5,210,"Lowell, MA",Brooks School, 12.8 Pts,8.7 Reb,3.2 Ast
2,Obi Okolie,4,SR,G,6-5,205,"Ajax, Canada",Archbishop Dennis O'Connor, 11.8 Pts,4.2 Reb,1.9 Ast
3,Brandon Anderson,2,JR,G,6-1,170,"Mahwah, NJ",Don Bosco Preparatory High School, 9.2 Pts,2.2 Reb,2.3 Ast
4,Joshua Howard,5,JR,F,6-6,205,"Charlotte, NC",Providence Day School, 7.8 Pts,4.1 Reb,0.6 Ast
5,Zach Hunsaker,20,JR,G,6-2,185,"North Salt Lake, UT",Orem High School, 5.8 Pts,2.1 Reb,1.4 Ast
6,George Mawanda-Kalema,3,SO,G,6-3,180,"Burke, VA",Episcopal School, 4.9 Pts,1.8 Reb,0.4 Ast
7,Matt DeWolf,44,SO,F,6-9,230,"Barrington, RI",Northfield Mount Hermon School, 2.9 Pts,3.0 Reb,1.0 Ast
8,Chris Sullivan,11,SR,G,6-3,180,"Wilmette, IL",Northfield Mount Hermon School, 2.5 Pts,1.4 Reb,0.4 Ast
9,David Mitchell,0,FR,G,6-6,200,"Roxbury, MA",Belmont Hill School, 2.3 Pts,2.6 Reb,0.7 Ast
10,Travis Fuller,1,SR,F,6-9,225,"Encinitas, CA",La Costa Canyon, 1.5 Pts,1.4 Reb,0.4 Ast
11,Jaylan Gainey,22,FR,F,6-9,190,"Greensboro, NC",The Academy at Smith HS, 2.2 Pts,2.0 Reb,0.1 Ast
12,Thomas Shaughnessy,12,FR,G,6-0,170,"Needham, MA",Needham HS, 0.9 Pts,0.5 Reb,0.5 Ast
13,Davis Franks,10,FR,F,6-8,205,"New York, NY",Northfield Mount Hermon HS, 0.9 Pts,0.7 Reb,0.3 Ast
14,Jake Shaper,15,SO,G,6-3,195,"Houston, TX",The Kinkaid School, 1.0 Pts,0.6 Reb,0.5 Ast
