,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Paul Miller,2,SR,G,6-4,190,"Waukesha, WI",Kettle Moraine HS, 19.5 Pts,5.8 Reb,3.4 Ast
1,Tyson Ward,24,SO,G,6-6,175,"Tampa, FL",Tampa Preparatory School, 11.8 Pts,5.9 Reb,2.6 Ast
2,A.J. Jacobson,21,SR,G,6-6,215,"Fargo, ND",Shanley HS, 9.5 Pts,4.1 Reb,1.6 Ast
3,Cameron Hunter,22,FR,G,5-3,175,"Olathe, KS",, 9.2 Pts,3.0 Reb,2.4 Ast
4,Deng Geu,23,SO,F,6-8,190,"Sioux Falls, SD",Sioux Falls Washington HS, 6.6 Pts,3.3 Reb,0.5 Ast
5,Jared Samuelson,11,SO,G,6-3,180,"Gretna, NE",Gretna High School, 5.4 Pts,1.7 Reb,0.7 Ast
6,Spencer Eliason,30,JR,F,6-9,235,"Chadron, NE",Chadron HS, 4.1 Pts,3.4 Reb,0.5 Ast
7,Rocky Kreuser,34,FR,F,6-9,230,"White Bear Lake, MN",, 3.7 Pts,2.0 Reb,0.4 Ast
8,Chris Quayle,13,SO,G,6-5,185,"Riverton, WY",, 3.0 Pts,1.8 Reb,0.8 Ast
9,Dylan Miller,42,JR,F,6-4,200,"Panama, IL",Hillsboro HS, 2.9 Pts,1.6 Reb,0.4 Ast
10,Nnamdi Van Dulm,5,SO,G,6-4,195,"West Allis, WI",, 1.2 Pts,1.7 Reb,1.0 Ast
11,Tyree Eady,3,,G,6-5,205,,,,,
12,Jordan Meidinger,44,,C,7-0,220,,,,,
13,Jake Mertens,33,,G,6-3,190,,,,,
