,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Bryant Crawford,13,JR,G,6-3,190,"Silver Spring, MD",Gonzaga College HS, 16.9 Pts,2.9 Reb,4.9 Ast
1,Doral Moore,4,JR,C,7-1,250,"Locust Grove, GA",Montverde Academy, 11.1 Pts,9.4 Reb,0.3 Ast
2,Keyshawn Woods,1,JR,G,6-3,182,"Gastonia, NC",Northside Christian Academy, 11.9 Pts,2.5 Reb,1.9 Ast
3,Brandon Childress,0,SO,G,6-0,190,"Winston-salem, NC",Wesleyan Christian Academy, 9.1 Pts,2.7 Reb,3.6 Ast
4,Mitchell Wilbekin,10,SR,G,6-2,165,"Gainesville, FL",The Rock School, 8.6 Pts,2.3 Reb,1.4 Ast
5,Chaundee Brown,23,FR,G,6-5,215,"Orlando, FL",, 7.6 Pts,3.0 Reb,1.1 Ast
6,Terrence Thompson,20,SR,F,6-7,215,"Durham, NC",Riverside High School, 3.5 Pts,3.9 Reb,0.3 Ast
7,Olivier Sarr,30,FR,C,7-0,215,France,, 3.2 Pts,3.0 Reb,0.4 Ast
8,Donovan Mitchell,2,SO,F,6-8,210,"Clovis, CA",Buchanan High School, 2.9 Pts,2.2 Reb,0.2 Ast
9,Melo Eggleston,11,FR,G,6-8,190,"Suitland, MD",, 1.0 Pts,1.1 Reb,0.2 Ast
10,Sunday Okeke,34,FR,F,6-8,240,Nigeria,, 0.6 Pts,1.4 Reb,0.2 Ast
11,Troy Rike,45,,F,6-7,195,"San Francisco, CA",St. Ignatius College Prep, 0.8 Pts,0.0 Reb,0.1 Ast
12,Sam Japhet-Mathias,25,SO,C,6-11,280,United Kingdom,Vermont Academy, 1.0 Pts,1.3 Reb,0.0 Ast
13,Aaron Spivey,41,,G,6-2,175,"Rocky Mount, NC",Nash Central high School, 0.3 Pts,0.0 Reb,0.0 Ast
14,Britton Anderson,52,,G,6-4,190,"Great Falls, VA",Flint High School, 0.3 Pts,0.6 Reb,0.0 Ast
15,Anthony Bilas,40,,G,6-2,160,"Charlotte, NC",Charlotte Latin HIgh School, 0.0 Pts,0.6 Reb,0.3 Ast
16,Rich Washington,33,,F,6-6,190,"Williamsburg, VA",Walsingham Academy,,,
