,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ahmaad Rorie,14,JR,G,6-0,175,"Tacoma, WA",Lincoln, 17.2 Pts,3.8 Reb,3.7 Ast
1,Michael Oguine,0,JR,G,6-1,175,"Chatsworth, CA",Chaminade Prep HS, 15.8 Pts,5.5 Reb,1.9 Ast
2,Jamar Akoh,15,JR,F,6-7,240,"Rancho Cucamonga, CA",Los Osos HS, 13.1 Pts,6.7 Reb,1.1 Ast
3,Sayeed Pridgett,4,SO,G,6-5,195,"Oakland, CA",El Carrito High School, 8.5 Pts,4.4 Reb,1.3 Ast
4,Bobby Moorehead,24,JR,G,6-6,190,"Tacoma, WA",Stadium HS, 7.5 Pts,5.0 Reb,1.2 Ast
5,Fabijan Krslovic,20,SR,F,6-8,225,Australia,St. Aloysius HS, 7.5 Pts,5.1 Reb,1.5 Ast
6,Timmy Falls,1,FR,G,6-2,171,"Dublin, CA",, 4.5 Pts,1.0 Reb,1.6 Ast
7,Karl Nicholas,5,FR,F,6-7,185,"Pearland, TX",, 3.5 Pts,2.3 Reb,0.2 Ast
8,Admir Besovic,40,FR,C,7-0,240,Bosnia and Herzegovina,, 0.7 Pts,0.3 Reb,0.1 Ast
9,Trevor Spoja,13,SO,G,6-3,170,"Billings, MT",Billings West High School, 0.5 Pts,0.2 Reb,0.2 Ast
10,Lars Espe,10,FR,G,6-1,165,Norway,, 0.4 Pts,0.2 Reb,0.3 Ast
11,Niko Bevens,3,SO,G,6-6,214,"Beaverton, OR",, 0.2 Pts,0.1 Reb,0.1 Ast
12,Peter Jones,32,,F,6-8,225,,, 0.0 Pts,0.0 Reb,0.0 Ast
13,Donaven Dorsey,2,,G,6-7,214,"Lacey, WA",Timberline HS,,,
14,Kelby Kramer,33,,C,6-10,220,,,,,
