,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Jordan Roland,12,JR,G,6-1,171,"Syracuse, NY",Westhill HS, 14.7 Pts,2.4 Reb,1.7 Ast
1,Vasa Pusica,4,SR,G,6-5,210,"Belgrade, Serbia",Sunrise Christian Academy, 17.8 Pts,3.9 Reb,4.2 Ast
2,Bolden Brace,20,JR,G,6-6,227,"Santa Barbara, CA",Santa Barbara High School, 10.0 Pts,6.0 Reb,2.7 Ast
3,Donnell Gresham Jr.,22,JR,G,6-1,203,"St. Paul, MN",Cretin-Derham Hall HS, 9.8 Pts,4.8 Reb,3.2 Ast
4,Anthony Green,30,SR,C,6-10,252,"Quincy, MA",Tilton School, 8.9 Pts,5.4 Reb,0.4 Ast
5,Tomas Murphy,33,SO,F,6-8,220,"Wakefield, RI",Northfield Mount Hermon School, 8.2 Pts,3.5 Reb,0.9 Ast
6,Shawn Occeus,1,JR,G,6-4,208,"Boynton Beach, FL",Grandview Prep, 10.1 Pts,2.7 Reb,2.0 Ast
7,Jason Strong,00,FR,F,6-8,217,"Coconut Creek, FL",Westminster Academy, 3.5 Pts,1.5 Reb,0.2 Ast
8,Jeremy Miller,11,SR,F,6-10,225,"Milton, MA",New Hampton School, 2.4 Pts,1.7 Reb,0.4 Ast
9,Myles Franklin,13,SO,G,6-4,170,"Brea, CA",Villa Park High School, 1.7 Pts,0.9 Reb,0.8 Ast
10,Shaquille Walters,24,FR,G,6-6,190,"London, United Kingdom",Lee Academy Prep, 1.6 Pts,1.3 Reb,0.8 Ast
11,Maxime Boursiquot,14,JR,G,6-5,211,"Ottawa, Canada",Kent School,,,
12,Greg Eboigbodin,10,FR,F,6-9,225,"Benin City, Nigeria",University of Detroit Jesuit High School and Academy,,,
