,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Anthony Tarke,12,SO,G,6-6,205,"Gaithersburg, MD",Coastal Academy, 15.1 Pts,6.0 Reb,1.9 Ast
1,Abdul Lewis,0,,F,6-9,225,"Newark, NJ",Newark East Side, 12.1 Pts,8.8 Reb,2.0 Ast
2,Diandre Wilson,15,JR,G,6-2,170,"Fort Lauderdale, FL",, 10.2 Pts,2.2 Reb,1.3 Ast
3,Zach Cooks,4,FR,G,5-9,155,"Lawrenceville, GA",, 8.5 Pts,2.2 Reb,2.1 Ast
4,Shawndale Jones,23,FR,G,6-3,185,"Pittsburgh, PA",, 6.4 Pts,2.7 Reb,1.0 Ast
5,Shyquan Gibbs,11,SO,G,6-1,150,"Hillside, NJ",St. Anthony High Schoool, 5.8 Pts,2.2 Reb,1.9 Ast
6,Reilly Walsh,14,JR,G,6-3,180,"Staten Island, NY",St. Peter's Boys HS, 4.3 Pts,2.7 Reb,1.1 Ast
7,Donovan Greer,32,JR,G,6-3,165,"Houston, TX",Hillcrest Academy, 4.6 Pts,1.4 Reb,1.0 Ast
8,Mohamed Bendary,34,JR,F,6-9,235,"Jersey City, NJ",St. Anthony's HS, 3.9 Pts,3.0 Reb,0.9 Ast
9,San Antonio Brinson,2,FR,F,6-8,200,"Augusta, GA",, 2.6 Pts,2.1 Reb,0.5 Ast
10,David Kachelries,10,FR,G,6-1,160,"Emmaus, PA",, 3.4 Pts,0.6 Reb,0.6 Ast
11,Taj Price,1,SO,F,6-7,210,"Newark, NJ",East Side High School, 2.9 Pts,1.7 Reb,0.3 Ast
12,Chris Jenkins,3,SR,G,6-4,215,"Hillside, NJ",Gill St. Bernard's, 2.5 Pts,0.5 Reb,0.4 Ast
