,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Ross Cummings,20,JR,G,6-3,180,"Dickson, TN",Creek Wood HIgh School, 17.4 Pts,2.9 Reb,1.9 Ast
1,Ethan Stair,22,JR,G,6-4,205,"Hazel Green, AL",Hazel Green High School, 11.7 Pts,5.2 Reb,1.3 Ast
2,Jaylen Stowe,2,SR,G,6-4,220,"Harrisburg, NC",Hickory Ridge High School, 10.5 Pts,4.9 Reb,1.2 Ast
3,Djordje Dimitrijevic,0,JR,G,6-2,180,"Grdelica, Serbia",, 9.6 Pts,2.6 Reb,1.9 Ast
4,Cory Kilby,1,SR,F,6-7,205,"Ada, OK",Ada High School, 6.1 Pts,3.4 Reb,1.0 Ast
5,Fardaws Aimaq,11,FR,F,6-11,245,"Vancouver, Canada",Steveston-London Secondary School, 5.0 Pts,5.3 Reb,0.2 Ast
6,Marcus Cohen,3,SO,G,6-4,190,"Tampa, FL",Sickles High School, 4.6 Pts,1.8 Reb,3.7 Ast
7,Victor Bafutto,55,SO,C,6-10,215,"Brasilia, Brazil",, 2.8 Pts,1.7 Reb,0.0 Ast
8,Luke Hamilton,30,FR,F,6-8,200,"Austin, TX",Lake Travis HS, 2.4 Pts,1.5 Reb,0.2 Ast
9,D.J. Peavy,5,FR,G,6-3,185,"San Antonio, TX",Dekaney HS, 3.1 Pts,0.7 Reb,0.6 Ast
10,Daniel Love,10,FR,G,6-3,170,"Orlando, FL",Dr. Phillips HS, 2.0 Pts,1.6 Reb,1.4 Ast
11,CJ Williamson,15,FR,G,6-3,190,"Guntersville, AL",Guntersville HS, 1.1 Pts,1.1 Reb,0.2 Ast
12,Maciej Bender,25,JR,F,6-11,255,"Warsaw, Poland",Mountain Mission High School,,,
13,Breck Cuddy,33,FR,F,7-0,215,"Vestavia Hills, AL",Vestavia HS,,,
14,Mitch Prendergast,12,FR,G,6-0,190,"Dallas, TX",Dallas Jesuit HS,,,
15,Brandon Thomas,23,FR,G,6-3,200,"McDonough, GA",Eagles Landing HS,,,
16,Patrick Urey,35,FR,F,6-6,210,"Chattanooga, TN",Baylor HS,,,
