,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Damani Applewhite,35,JR,G,6-8,200,"Fayetteville, NC",Westover High School, 16.6 Pts,7.4 Reb,1.1 Ast
1,Janai Raynor Powell,11,SR,G,5-10,165,"Virginia Beach, VA",Kellam High School, 10.2 Pts,2.6 Reb,3.8 Ast
2,Jahmari Etienne,14,JR,G,6-3,,"Atlanta, GA",, 8.5 Pts,1.8 Reb,1.1 Ast
3,Ian Kinard,24,JR,F,6-8,210,"Clinton, SC",Gray Collegiate Academy, 7.1 Pts,3.9 Reb,0.7 Ast
4,Ozante Fields,5,JR,F,6-7,220,"Denmark, SC",Denmark-Olar HIgh School, 8.4 Pts,4.9 Reb,0.5 Ast
5,Lavar Harewood,0,JR,F,6-3,195,"Brooklyn, NY",Brooks HS, 8.8 Pts,3.3 Reb,0.8 Ast
6,Rayshawn Neal,3,SO,G,5-10,185,"Greenville, SC",Legacy Charter School, 7.0 Pts,2.8 Reb,2.9 Ast
7,"Allen Hatchett, Jr.",10,FR,G,6-4,,"Memphis, TN",White Station HS, 3.2 Pts,2.0 Reb,0.6 Ast
8,Aramani Hill,1,SO,F,6-7,,"Rock Hill, SC",Spartanburg Methodist HS, 4.4 Pts,2.3 Reb,0.3 Ast
9,David Bottenberg,21,JR,F,6-8,220,"Rockville, MD",Millbrook School, 2.5 Pts,1.9 Reb,0.4 Ast
10,Fred Slater,22,SO,G,6-4,,"Centreville, VA",, 2.6 Pts,0.8 Reb,0.3 Ast
11,Dwayne Banks,4,JR,G,5-10,180,"Baltimore, MD",Randallstown High School, 1.4 Pts,1.1 Reb,0.8 Ast
12,Savion Dawkins,12,FR,G,6-4,,"York, SC",York Prep Academy, 0.4 Pts,0.0 Reb,0.1 Ast
13,Robert Flint,20,FR,G,6-2,,"Greenville, SC",Greenville Senior HS, 0.0 Pts,0.0 Reb,0.0 Ast
14,Fahmmi Mamo,2,FR,G,6-6,,"Alexandria, VA",Carolina Basketball Academy, 0.0 Pts,0.0 Reb,0.0 Ast
15,Alex Taylor,33,JR,F,6-9,,"Moncks Corner, SC",, 0.0 Pts,0.5 Reb,0.0 Ast
