,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,E.J. Crawford,2,JR,G,6-6,210,"Hartford, CT",St. Thomas More Prep, 17.9 Pts,5.1 Reb,1.8 Ast
1,Rickey McGill,0,SR,G,6-2,185,"Spring Valley, NY",Spring Valley (NY), 15.5 Pts,4.6 Reb,5.0 Ast
2,Tajuan Agee,12,JR,F,6-9,215,"Chicago, IL",Hyde Park HS, 13.3 Pts,8.1 Reb,1.2 Ast
3,Asante Gist,3,JR,G,5-11,185,"East Orange, NJ",St. Anthony High School, 12.4 Pts,2.3 Reb,2.3 Ast
4,Ben Perez,5,JR,G,6-4,180,"San Marcos, CA",USAFA Prep School, 8.5 Pts,3.7 Reb,1.1 Ast
5,Isaiah Still,1,JR,G,6-7,195,"Rahway, NJ",Union Catholic HS, 7.5 Pts,3.2 Reb,1.4 Ast
6,Andrija Ristanovic,10,FR,F,6-11,215,"Belgrade, Serbia",Hillcrest Prep (AZ), 3.3 Pts,3.0 Reb,0.4 Ast
7,Jahnathan Maxwell,13,JR,F,6-8,230,"Virginia Beach, VA",Genesis Academy, 2.6 Pts,1.9 Reb,0.5 Ast
8,Niksa Nikolic,44,JR,F,6-8,235,"Belgrade, Serbia",High School of Sport, 2.8 Pts,2.4 Reb,0.4 Ast
9,Payton Hudson,32,FR,G,6-0,185,"Yonkers, NY",Our Saviour Lutheran HS, 0.2 Pts,0.4 Reb,0.4 Ast
10,Malik Rhem,24,JR,G,6-3,170,"Bronx, NY",Cardinal Spellman HS, 0.0 Pts,0.0 Reb,0.0 Ast
11,Isaiah Ross,20,JR,G,6-4,200,"Davenport, IA",Hillcrest School,,,
