,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Lance Tejada,5,JR,G,6-2,190,"Miramar, FL",Blanche Ely HS, 14.7 Pts,2.5 Reb,2.0 Ast
1,Kahron Ross,1,SR,G,5-11,155,"Jonesboro, AR",Jonesboro HS, 13.2 Pts,3.0 Reb,4.2 Ast
2,Pat Andree,31,SO,F,6-8,225,"Lincroft, NJ",Christian Brothers Academy, 12.6 Pts,5.8 Reb,0.7 Ast
3,Kyle Leufroy,2,JR,G,6-2,195,"Pasadena, CA",Prolific Prep, 10.0 Pts,4.9 Reb,2.5 Ast
4,Jordan Cohen,11,SO,G,6-1,185,"Tarzana, CA",Campbell Hall School, 9.3 Pts,3.6 Reb,2.4 Ast
5,James Karnik,13,FR,C,6-9,225,"Surrey, BC",, 7.1 Pts,6.5 Reb,0.5 Ast
6,Caleb Bennett,4,FR,G,6-5,190,"St. Josephs, MO",, 5.5 Pts,2.3 Reb,0.8 Ast
7,Marques Wilson,20,FR,G,6-4,185,"Edmond, OK",, 5.4 Pts,2.6 Reb,1.2 Ast
8,Ed Porter,10,SO,F,5-8,215,"Hawthorne, FL",, 3.7 Pts,2.7 Reb,0.3 Ast
9,Shane Acoveno,42,FR,F,6-6,200,"Milford, PA",, 1.0 Pts,0.7 Reb,0.0 Ast
10,Caleb Sedore,55,,C,6-11,215,"Pulaski, NY",, 0.9 Pts,0.8 Reb,0.0 Ast
11,Josh Wolf,40,SO,C,6-10,225,"Glencoe, IL",Williston Northampton High School, 0.7 Pts,0.3 Reb,0.0 Ast
12,Jay Jay Davis,15,SR,G,5-10,150,"Allentown, PA",William Allen High School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Jack Lieb,21,,C,6-10,235,"Deerfield, IL",,,,
