,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Max Hazzard,2,JR,G,5-10,170,"Los Angeles, CA",Loyola HS, 12.5 Pts,1.9 Reb,2.2 Ast
1,Evan Leonard,14,JR,G,6-1,190,"Cerritos, CA",Cerritos High School, 11.1 Pts,2.5 Reb,1.7 Ast
2,Collin Welp,40,FR,F,6-9,235,"Seattle, WA",Seattle Prep, 8.9 Pts,4.4 Reb,0.7 Ast
3,Jonathan Galloway,5,SR,F,6-10,235,"Brentwood, CA",Salesian HS, 7.0 Pts,7.9 Reb,1.0 Ast
4,Tommy Rutherford,42,JR,F,6-8,220,"El Cajon, CA",Grossmont High School, 6.8 Pts,4.4 Reb,0.7 Ast
5,Robert Cartwright,3,SR,G,6-2,180,"Pasadena, CA",Flintridge Prepatory, 6.8 Pts,2.3 Reb,2.3 Ast
6,Eyassu Worku,24,JR,G,6-2,170,"Artesia, CA",Los Alamitos High School, 7.5 Pts,2.4 Reb,2.8 Ast
7,Elston Jones,50,SR,F,6-9,275,"Goodyear, AZ",Millennium, 5.7 Pts,6.8 Reb,0.9 Ast
8,John Edgar Jr.,11,JR,F,6-5,217,"Chino Hills, CA",Ayala High School, 6.4 Pts,3.0 Reb,0.7 Ast
9,Darrian Traylor,23,JR,G,6-4,210,"Las Vegas, NV",Centennial HS, 1.9 Pts,1.1 Reb,0.5 Ast
10,JC Butler,0,FR,F,6-5,200,"Racine, WI",The Prairie School, 1.6 Pts,1.4 Reb,0.2 Ast
11,Spencer Rivers,25,SR,G,6-2,200,"Winter Park, FL",Winter Park HS, 1.4 Pts,0.5 Reb,0.6 Ast
12,Solomon Ruddell,35,FR,C,7-1,255,"Los Osos, CA",The Hill School, 1.4 Pts,0.7 Reb,0.1 Ast
13,Devin Cole,1,FR,G,5-11,170,"Ventura, CA",Buena HS,,,
14,Brad Greene,55,JR,C,6-10,320,"Lone Pine, CA",Lone Pine High school,,,
15,Aiden Krause,4,FR,G,6-4,198,"Mackay, Australia",,,,
