,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kris Wilkes,13,SO,G,6-8,215,"Indianapolis, IN",North Central High School, 17.3 Pts,4.8 Reb,1.7 Ast
1,Jaylen Hands,4,SO,G,6-3,180,"San Diego, CA",Foothills Christian, 14.2 Pts,3.7 Reb,6.1 Ast
2,Moses Brown,1,FR,C,7-1,245,"Queens, NY",Archbishop Molley HS, 10.0 Pts,8.6 Reb,0.3 Ast
3,Jules Bernard,3,FR,G,6-6,205,"Los Angeles, CA",Windward School, 7.6 Pts,3.1 Reb,0.8 Ast
4,Prince Ali,23,JR,G,6-4,195,"The Bronx, NY",The Sagemont School (FL), 9.7 Pts,2.7 Reb,1.5 Ast
5,Chris Smith,5,FR,G,6-9,210,"Chicago, IL",Huntington Prep, 6.3 Pts,3.7 Reb,1.3 Ast
6,David Singleton,34,FR,G,6-4,200,"Los Angeles, CA",Bishop Montgomery HS, 5.2 Pts,1.2 Reb,1.0 Ast
7,Cody Riley,2,FR,F,6-9,240,"Kansas City, KS",Sierra Canyon HS, 5.5 Pts,4.1 Reb,0.7 Ast
8,Jalen Hill,24,FR,G,6-10,235,"Corona, CA",Centennial HS, 4.3 Pts,6.0 Reb,1.2 Ast
9,Alex Olesinski,0,JR,F,6-10,220,"Roswell, NM",La Lumiere School (IN), 2.3 Pts,2.4 Reb,0.1 Ast
10,Kenneth Nwuba,14,FR,F,6-9,245,"Lagos, Nigeria",Huntington Prep, 0.4 Pts,0.7 Reb,0.1 Ast
11,Armani Dodson,15,JR,G,6-5,210,"Fontana, CA",Henry J. Kaiser High School, 0.0 Pts,0.4 Reb,0.0 Ast
12,Russell Stong,43,FR,G,6-2,180,"Northridge, CA",Crespi HS, 0.0 Pts,0.0 Reb,0.0 Ast
13,Tyger Campbell,10,FR,G,5-11,185,"Cedar Rapids, IA",La Lumiere School,,,
14,Shareef O'Neal,22,FR,F,6-9,215,"Los Angeles, CA",Crossroads School,,,
15,Joseph Wallace,30,SO,G,6-2,185,"Woodland Hills, CA",Sierra Canyon School,,,
16,Isaac Wulff,20,JR,G,6-3,180,"Laguna Beach, CA",Laguna Beach High School,,,
