,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Christian James,0,SR,G,6-4,213,"Houston, TX",Bellaire HS, 14.4 Pts,6.3 Reb,1.8 Ast
1,Brady Manek,35,SO,F,6-9,222,"Harrah, OK",Harrah High School, 12.0 Pts,6.1 Reb,0.8 Ast
2,Kristian Doolittle,21,JR,F,6-7,232,"Edmond, OK",Edmond Memorial High School, 11.2 Pts,7.0 Reb,1.5 Ast
3,Aaron Calixte,2,SR,G,5-11,179,"Stoughton, MA",Stoughton, 7.0 Pts,1.8 Reb,2.1 Ast
4,Miles Reynolds,3,SR,G,6-3,176,"Chicago, IL",Whitney Young HS, 6.8 Pts,2.3 Reb,1.2 Ast
5,Rashard Odomes,1,SR,G,6-6,217,"Copperas Cove, TX",Copperas Cove HS, 6.7 Pts,2.5 Reb,1.1 Ast
6,Jamal Bieniemy,24,FR,G,6-4,181,"Katy, TX",Tompkins HS, 4.9 Pts,2.4 Reb,3.5 Ast
7,Jamuni McNeace,4,SR,C,6-10,232,"Kankakee, IL",Allen HS, 4.8 Pts,3.7 Reb,0.4 Ast
8,Matt Freeman,5,JR,F,6-10,229,"Auckland, New Zealand",Westlake Boys High School, 3.3 Pts,1.5 Reb,0.3 Ast
9,Hannes Polla,44,SO,C,6-11,267,"Lahti, Finland",Helsinki Basketball Academy, 1.1 Pts,0.8 Reb,0.0 Ast
10,Patrick Geha,22,SR,F,6-5,212,"Leawood, KS",Rockhurst High School, 1.0 Pts,0.0 Reb,0.0 Ast
11,Kur Kuath,52,JR,F,6-10,204,"Biemnon, South Sudan",, 1.0 Pts,0.8 Reb,0.2 Ast
12,Ty Lazenby,14,SR,G,6-5,209,"Glencoe, OK",Glencoe High School, 0.0 Pts,0.0 Reb,0.0 Ast
13,Read Streller,32,SO,F,6-8,237,"Edmond, OK",Oklahoma Christian School, 0.0 Pts,0.3 Reb,0.0 Ast
14,Austin Reaves,12,JR,G,6-5,180,"Newark, AR",Cedar Ridge High School,,,
15,Luke Stephenson,30,SR,G,6-3,198,"Lubbock, TX",Lubbock Trinity HS,,,
