,Name,Number,Year,Position,Height,Weight,Hometown,High School,PPG,RPG,APG
0,Kerwin Roach Jr.,12,SR,G,6-4,180,"Houston, TX",North Shore HS, 14.1 Pts,4.3 Reb,2.9 Ast
1,Dylan Osetkowski,21,SR,F,6-9,250,"San Diego, CA",JSerra Catholic HS, 10.4 Pts,7.4 Reb,1.1 Ast
2,Jaxson Hayes,10,FR,F,6-11,220,"Loveland, OH",Cincinnati Moeller HS, 10.0 Pts,5.0 Reb,0.3 Ast
3,Matt Coleman,2,SO,G,6-2,180,"Norfolk, VA",Oak Hill Academy, 10.0 Pts,2.2 Reb,3.6 Ast
4,Jase Febres,13,SO,G,6-5,190,"Houston, TX",Westfield High School, 8.8 Pts,2.7 Reb,0.4 Ast
5,Courtney Ramey,3,FR,G,6-3,185,"St. Louis, MO",Webster Groves HS, 7.9 Pts,3.1 Reb,3.0 Ast
6,Elijah Mitrou-Long,55,JR,G,6-1,185,"Alberta, Canada",John Carroll HS, 5.9 Pts,2.3 Reb,1.7 Ast
7,Jericho Sims,20,SO,F,6-9,240,"Minneapolis, MN",Cristo Rey Jesuit High School, 3.9 Pts,3.0 Reb,0.1 Ast
8,Kamaka Hepa,33,FR,F,6-9,225,"Barrow, AK",Jefferson HS, 2.0 Pts,1.7 Reb,0.3 Ast
9,Royce Hamm Jr.,5,SO,F,6-8,240,"Houston, TX",Aldine Nimitz High School, 2.1 Pts,2.3 Reb,0.1 Ast
10,Gerald Liddell,0,FR,F,6-8,200,"Cibolo, TX",Steele HS, 0.5 Pts,0.9 Reb,0.3 Ast
11,Blake Nevins,22,FR,G,6-5,205,"Cypress, TX",Cypress Ranch HS, 1.0 Pts,0.5 Reb,0.0 Ast
12,Andrew Jones,1,JR,G,6-4,180,"Irving, TX",MacArthur High School, 1.5 Pts,1.0 Reb,0.5 Ast
13,Drayton Whiteside,4,JR,G,6-0,156,"Austin, TX",Vandegrift HS, 0.8 Pts,0.0 Reb,0.0 Ast
14,Brock Cunningham,30,FR,F,6-6,215,"Austin, TX",Westlake HS,,,
